"Nome_UC","Localidade","Municipio","Estado","Freq"
NA,"Centro de Biologia Marinha da USP - CEBIMAR","Ubatuba","São Paulo",55
NA,"Centro de Biologia Marinha da USP","Ubatuba","São Paulo",55
NA,"CEBIMAR","Ubatuba","São Paulo",55
NA,"ilha vitoria","","São Paulo",36
NA,"São Sebastião","","São Paulo",34
NA,"Along Río Comprido","Ubatuba","São Paulo",33
NA,"Agriculture Experiment Station. Along Río Comprido","Ubatuba","São Paulo",33
NA,"trilha para a praia do leste","Ubatuba","São Paulo",25
NA,"praia vermelha do sul","Ubatuba","São Paulo",25
NA,"Litoral Norte","","São Paulo",24
NA,"Sertão de Paúba","São Sebastião","São Paulo",22
NA,"lado norte em direcao a praia de jabaquara","Ilhabela","São Paulo",21
NA,"Ilha Anchieta, Ubatuba, SP, BR","","São Paulo",20
NA,"trecho entre praia do estaleiro e praia ubatubamirim","Ubatuba","São Paulo",19
NA,"praia brava","Ubatuba","São Paulo",19
NA,"Parque Estadual da Serra do Mar","Ubatuba","São Paulo",19
NA,"praia da lagoinha","Ubatuba","São Paulo",17
NA,"Ilha do Cardoso","Cananéia","São Paulo",105
NA,"quintal","Cananéia","São Paulo",23
NA,"Foles","Cananéia","São Paulo",23
NA,"Ilha do Cardoso - Foles, quintal","Cananéia","São Paulo",14
NA,"Cambriú","Cananéia","São Paulo",12
NA,"na praia","Ilha Comprida","São Paulo",11
NA,"em areia encharcada","Ilha Comprida","São Paulo",10
NA,"restinga","Cananéia","São Paulo",9
NA,"Ilha do Cardoso - Cambriú, quintal","Cananéia","São Paulo",9
NA,"Ilha do Castilho","Cananéia","São Paulo",7
NA,"Ilha do Cardoso,Ponta da Laje","Cananéia","São Paulo",7
NA,"Arredores","Ilha Comprida","São Paulo",7
NA,"Mun","Cananéia","São Paulo",6
NA,"Estrada de acesso à praia","Ilha Comprida","São Paulo",6
NA,"Cananeia","Cananéia","São Paulo",6
NA,"Praia de Marujá","Cananéia","São Paulo",5
NA,"Na praia, em areia encharcada","Ilha Comprida","São Paulo",5
NA,"Praia do Cambriú","Cananéia","São Paulo",4
NA,"Praia de Cambriú","Cananéia","São Paulo",4
NA,"Parque Estadual da Ilha do Cardoso","Cananéia","São Paulo",4
NA,"Morro do Cristo","Iguape","São Paulo",4
NA,"Mata","São Paulo","São Paulo",4
NA,"Estação Ecológica Juréia-Itatins","Peruíbe","São Paulo",4
NA,"Costão da Laje","Cananéia","São Paulo",4
NA,"Praia do Marujá","Cananéia","São Paulo",3
NA,"Iguape","Iguape","São Paulo",3
NA,"along shore of the bay outlet","","São Paulo",3
NA,"along shore of the bay outlet","Cananéia","São Paulo",3
NA,"Cidade Tiradentes","São Paulo","São Paulo",1
NA,"Guarujá","Guarujá","São Paulo",40
NA,"Guarujá - SP, Brasil","Guarujá","São Paulo",28
NA,"Serra do Guararu","Guarujá","São Paulo",21
NA,"condomínio Iporanga","Guarujá","São Paulo",18
NA,"área C","Guarujá","São Paulo",11
NA,"Guarujá - São Paulo, Brasilien","Guarujá","São Paulo",9
NA,"Praia de Tijucopava","Guarujá","São Paulo",7
NA,"parcela 20","Guarujá","São Paulo",4
NA,"Prainha Branca","Guarujá","São Paulo",3
NA,"parcela 19","Guarujá","São Paulo",3
NA,"Guarujá","","São Paulo",2
NA,"área B","Guarujá","São Paulo",2
NA,"área A","Guarujá","São Paulo",2
NA,"State of São Paulo","Guarujá","São Paulo",1
NA,"APA","Guarujá","São Paulo",1
NA,"Marsilac","São Paulo","São Paulo",674
NA,"Parque Estadual da Serra do Mar","São Paulo","São Paulo",625
NA,"Parelheiros","São Paulo","São Paulo",437
NA,"parque estadual serra mar nucleo curucutu","São Paulo","São Paulo",269
NA,"Parque Estadual Serra do Mar","São Paulo","São Paulo",111
NA,"Trilha do Campo","São Paulo","São Paulo",83
NA,"Núcleo de Curucutu","São Paulo","São Paulo",74
NA,"Parelheiros","","São Paulo",66
NA,"parque estadual serra mar nucleo de curucutu","São Paulo","São Paulo",57
NA,"Capivari","São Paulo","São Paulo",54
NA,"Trilha do Mirante","São Paulo","São Paulo",51
NA,"Parque Estadual da Serra do Mar","","São Paulo",37
NA,"Distrito de Marsilac","São Paulo","São Paulo",36
NA,"Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo","São Paulo","São Paulo",29
NA,"Gleba do Pêssego","","São Paulo",55
NA,"Gleba do Pêssego, São Paulo - SP, Brasil","","São Paulo",47
NA,"Parque do Carmo","São Paulo","São Paulo",39
NA,"Itaquera","São Paulo","São Paulo",37
NA,"Parque Estadual da Serra do Mar","São Paulo","São Paulo",25
NA,"parque do carmo","","São Paulo",20
NA,"Itaquera","","São Paulo",11
NA,"Distrito Parque do Carmo","São Paulo","São Paulo",11
NA,"Nat","São Paulo","São Paulo",8
NA,"Mun","São Paulo","São Paulo",8
NA,"Fazenda do Carmo","São Paulo","São Paulo",8
NA,"Distrito Parque do Carmo, Pq. Nat. Mun. Fazenda do Carmo","São Paulo","São Paulo",8
NA,"Trilha 1","São Paulo","São Paulo",3
NA,"Serra do Japi","Jundiaí","São Paulo",1
NA,"São Paulo, BR","São Paulo","São Paulo",1
NA,"fazenda sao jose","Rio Claro","São Paulo",713
NA,"serra do cuscuzeiro","Analândia","São Paulo",384
NA,"reserva de cerrado da unesp","Corumbataí","São Paulo",315
NA,"Reserva de Cerrado da UNESP. Alt. 793-866m","Corumbataí","São Paulo",252
NA,"Alt","Corumbataí","São Paulo",252
NA,"793-866m","Corumbataí","São Paulo",252
NA,"Pedra Vermelha","Analândia","São Paulo",200
NA,"parque rauvitscher, fazenda pedra vermelha","Analândia","São Paulo",177
NA,"Parque Rauvitscher, Faz. Pedra Vermelha","Analândia","São Paulo",177
NA,"campus unesp bela vista","Rio Claro","São Paulo",105
NA,"São José","Rio Claro","São Paulo",63
NA,"Faz. São José","Rio Claro","São Paulo",61
NA,"cerrado","Corumbataí","São Paulo",59
NA,"Estação Experimental","Monte Alegre do Sul","São Paulo",1177
NA,"IAC","Monte Alegre do Sul","São Paulo",1099
NA,"IAC, Estação Experimental, área nativa","Monte Alegre do Sul","São Paulo",486
NA,"estacao experimental do iac","Monte Alegre do Sul","São Paulo",442
NA,"IAC, Estação Experimental","Monte Alegre do Sul","São Paulo",281
NA,"IAC, Estação Experimental, área antropizada, coleção","Monte Alegre do Sul","São Paulo",270
NA,"coleção","Monte Alegre do Sul","São Paulo",270
NA,"área antropizada","Monte Alegre do Sul","São Paulo",270
NA,"estacao experimental de ibiti","Monte Alegre do Sul","São Paulo",226
NA,"Mata mesófila semidecídua","Nazaré Paulista","São Paulo",135
NA,"Jardim Botânico Araribá","Amparo","São Paulo",117
NA,"da sede até a trilha da esquerda na entrada das cachoeiras","Botucatu","São Paulo",115
NA,"Sítio Duas Cachoeiras","Amparo","São Paulo",106
NA,"RPPN","Amparo","São Paulo",106
NA,"Jardim Botânico Araribá RPPN","Amparo","São Paulo",105
NA,"Estação Experimental","Amparo","São Paulo",95
NA,"Bela Vista","Barra do Turvo","São Paulo",22
NA,"km 524","","São Paulo",7
NA,"about 2 km NE of Rio Barreiro","","São Paulo",7
NA,"BR-116, km 524.3, about 2 km NE of Rio Barreiro","","São Paulo",5
NA,"BR-116","","São Paulo",5
NA,"NE of Sao Paulo-Parana State borders","","São Paulo",4
NA,"5 of SP 230 & BR 116","","São Paulo",4
NA,"28 km","","São Paulo",4
NA,"km 524","Barra do Turvo","São Paulo",3
NA,"Boela Vista","Barra do Turvo","São Paulo",3
NA,"about 2 km NE of Rio Barreiro","Barra do Turvo","São Paulo",3
NA,"Serra do Azette Mtn","","São Paulo",2
NA,"Serra do Azette Mt","","São Paulo",2
NA,"Km 277","","São Paulo",2
NA,"Beira da rodovia Regis Bintencourt cerca 40 Km ao sul de Cajati-SP","Cajati","São Paulo",2
NA,"28 km. NE of Sao Paulo-Parana State borders. Serra do Azette Mtn., Km. 277.5 of SP 230 & BR 116","","São Paulo",2
NA,"28 km. NE of Sao Paulo-Parana State borders. Serra do Azette Mt., Km 277.5 of SP 230 & BR 116","","São Paulo",2
NA,"sentido Paraná ca","Barra do Turvo","São Paulo",1
NA,"Rodovia Regis Bittencourt. sentido Paraná ca. km 537. beira da rodovia","Barra do Turvo","São Paulo",1
NA,"rodovia regis bittencourt, beira da rodovia","Barra do Turvo","São Paulo",1
NA,"Rodovia Regis Bittencourt","Barra do Turvo","São Paulo",1
NA,"Parque Estadual de Jacupiranga","Barra do Turvo","São Paulo",1
NA,"km 537","Barra do Turvo","São Paulo",1
NA,"BR-116, km 524.3, about 2 km NE of Rio Barreiro","Barra do Turvo","São Paulo",1
NA,"BR-116","Barra do Turvo","São Paulo",1
NA,"BR 116, km 524.3, about 2 km NE of Rio Barreiro","","São Paulo",1
NA,"BR 116, km 524.3, about 2 km NE of Rio Barreiro","Barra do Turvo","São Paulo",1
NA,"BR 116","","São Paulo",1
NA,"BR 116","Barra do Turvo","São Paulo",1
NA,"BR - 116, km 524.3, about 2 km NE of Rio Barreiro","","São Paulo",1
NA,"BR - 116, km 524.3, about 2 km NE of Rio Barreiro","Barra do Turvo","São Paulo",1
NA,"beira da rodovia","Barra do Turvo","São Paulo",1
NA,"_x000F__x0006_","Barra do Turvo","São Paulo",1
NA,"Núcleo da Caverna do Diabo","Eldorado","São Paulo",197
NA,"parque estadual jacupiranga","Eldorado","São Paulo",143
NA,"Trilha do Bugio","Eldorado","São Paulo",99
NA,"Jacupiranga","Eldorado","São Paulo",94
NA,"Trilha do Rolado","Eldorado","São Paulo",88
NA,"P.E.Jacupiranga - Núcleo Caverna do Diabo","Eldorado","São Paulo",59
NA,"Parque Estadual do Jacupiranga","Eldorado","São Paulo",58
NA,"Trilha da Água Grande/Ressurgência","Eldorado","São Paulo",49
NA,"Floresta Ombrófila Densa Baixo Montana pouco degradada sobre afloramento de calcário","Eldorado","São Paulo",45
NA,"Núcleo Cedro","Eldorado","São Paulo",41
NA,"Mata Atlântica","Eldorado","São Paulo",40
NA,"Trilha para o mirante mais alto","Eldorado","São Paulo",38
NA,"Parque Estadual de Jacupiranga - Núcleo Caverna do Diabo","Eldorado","São Paulo",38
NA,"Trilha do Araçá e Trilha do Rolado","Eldorado","São Paulo",36
NA,"&nf","Eldorado","São Paulo",36
NA,"Trilha para a boca da Caverna Tapagem","Eldorado","São Paulo",31
NA,"Floresta Ombrófila Densa Baixo Montana","Eldorado","São Paulo",31
NA,"Rio das Ostras","Eldorado","São Paulo",30
NA,"degradada","Eldorado","São Paulo",30
NA,"ribeirinha com afloramentos calcáreos","Eldorado","São Paulo",28
NA,"Trilha Vale das Ostras","Eldorado","São Paulo",27
NA,"Floresta Ombrófila Densa Sub-montana","Eldorado","São Paulo",27
NA,"ribeirinha","Eldorado","São Paulo",21
NA,"Usina, Atibaia - SP, Brasil","","São Paulo",1
NA,"Usina","","São Paulo",1
NA,"Atibaia - SP, Brasil","Atibaia","São Paulo",1
NA,"Atibaia","","São Paulo",1
NA,"Atibaia","Atibaia","São Paulo",1
NA,"aldeia guarani","Avaí","São Paulo",161
NA,"Mata em volta da represa","Piratininga","São Paulo",88
NA,"Est","Gália","São Paulo",63
NA,"estado ecol","Gália","São Paulo",50
NA,"dique","Avaí","São Paulo",43
NA,"Est. Ecol. dos Caetetus","Gália","São Paulo",35
NA,"Floresta Estacional Semidecidual","Piratininga","São Paulo",29
NA,"mata ciliar","Avaí","São Paulo",27
NA,"São José","Piratininga","São Paulo",21
NA,"terra indigena arariba","Avaí","São Paulo",20
NA,"proximo ao contorno da rodovia marechal rondon","Bauru","São Paulo",16
NA,"Parque Estadual de Jacupiranga","Barra do Turvo","São Paulo",2
NA,"Rodovia Régis Bittencourt, borda da rodovia","Barra do Turvo","São Paulo",1
NA,"Rodovia Régis Bittencourt","Barra do Turvo","São Paulo",1
NA,"borda da rodovia","Barra do Turvo","São Paulo",1
NA,"Área de Proteção Ambiental (APA) de São Francisco Xavier","São José dos Campos","São Paulo",50
NA,"area de protecao ambiental","São José dos Campos","São Paulo",46
NA,"São Francisco Xavier","São José dos Campos","São Paulo",44
NA,"sao jose dos campos","São José dos Campos","São Paulo",28
NA,"São José dos Campos","","São Paulo",22
NA,"subida para o Pico da Onça","São José dos Campos","São Paulo",18
NA,"trilha do Jorge","São José dos Campos","São Paulo",16
NA,"São José dos Campos, SP, BR","São José dos Campos","São Paulo",15
NA,"São Francisco Xavier","","São Paulo",15
NA,"São Francisco Xavier, São José dos Campos - SP, Brasil","","São Paulo",13
NA,"Eduardo","São José dos Campos","São Paulo",10
NA,"acessada pela estrada santa barbara","São José dos Campos","São Paulo",10
NA,"State of São Paulo","São José dos Campos","São Paulo",9
NA,"Sao Jose dos Campos - State of São Paulo, Brazil","São José dos Campos","São Paulo",9
NA,"Área de Proteção Ambiental (APA) de São Francisco Xavier, trilha do Jorge, subida para o Pico da Onça","São José dos Campos","São Paulo",9
NA,"Propriedade da Sra","São José dos Campos","São Paulo",7
NA,"número 255","São José dos Campos","São Paulo",7
NA,"Instituto Gaia","São José dos Campos","São Paulo",7
NA,"Distrito de São Francisco Xavier. Instituto Gaia. Acessado pela Rua XV de Novembro, número 255","São José dos Campos","São Paulo",7
NA,"Acessado pela Rua XV de Novembro","São José dos Campos","São Paulo",7
NA,"St. Socioeconômico 21, São José dos Campos - SP, Brazil","","São Paulo",6
NA,"Socioeconômico 21","","São Paulo",6
NA,"saint socioeconomico 21","","São Paulo",6
NA,"Propriedade do Sr","São José dos Campos","São Paulo",6
NA,"Marcos","São José dos Campos","São Paulo",6
NA,"Trilha do Jorge, subida para o Pico da Onça. Área de Proteção Ambiental (APA) de São Francisco Xavier","São José dos Campos","São Paulo",5
NA,"São Paulo, BR","São Paulo","São Paulo",5
NA,"Lígia e do Sr","São José dos Campos","São Paulo",5
NA,"Distrito de São Francisco Xavier. Propriedade da Sra. Lígia e do Sr. Eduardo. Acessada pela estrada Santa Bárbara","São José dos Campos","São Paulo",5
NA,"Fazenda da Serra","São José dos Campos","São Paulo",3
NA,"Distrito de São Francisco Xavier, caminho para a Cachoeira das Couves","São José dos Campos","São Paulo",3
NA,"caminho para a Cachoeira das Couves","São José dos Campos","São Paulo",3
NA,"Área de Proteção Ambiental (APA) de São Francisco Xavier, Fazenda da Serra","São José dos Campos","São Paulo",3
NA,"pedra do bauzinho","São Bento do Sapucaí","São Paulo",137
NA,"morro do bau","São Bento do Sapucaí","São Paulo",100
NA,"sitio matao","Santo Antônio do Pinhal","São Paulo",98
NA,"estrada para o bauzinho","São Bento do Sapucaí","São Paulo",75
NA,"santo antonio do pinhal","Santo Antônio do Pinhal","São Paulo",44
NA,"pela face Norte","São Bento do Sapucaí","São Paulo",43
NA,"Trilha para a Pedra do Baú","São Bento do Sapucaí","São Paulo",40
NA,"Trilha para a Pedra do Baú, pela face Norte","São Bento do Sapucaí","São Paulo",35
NA,"rampa de voo da pedra do bauzinho","São Bento do Sapucaí","São Paulo",35
NA,"estrada do areal","Campos do Jordão","São Paulo",32
NA,"Estrada do areal, Vale do rio Coxim","Campos do Jordão","São Paulo",30
NA,"areal","Campos do Jordão","São Paulo",28
NA,"Pedra do Baú","São Bento do Sapucaí","São Paulo",27
NA,"Serra da Mantiqueira: NW of Campos do Jordão","São Bento do Sapucaí","São Paulo",25
NA,"Trilha para Pedra do Baú","São Bento do Sapucaí","São Paulo",23
NA,"Estrada velha de Santo Antonio do Pinhal até Piracuama","Santo Antônio do Pinhal","São Paulo",23
NA,"São José dos Alpes","São Bento do Sapucaí","São Paulo",18
NA,"condomínio Iporanga","Guarujá","São Paulo",381
NA,"área B","Guarujá","São Paulo",101
NA,"área C","Guarujá","São Paulo",85
NA,"área A","Guarujá","São Paulo",40
NA,"Trilha Praia Branca","Guarujá","São Paulo",38
NA,"praia do guaiuba","Guarujá","São Paulo",37
NA,"Vila Prainha Branca","Guarujá","São Paulo",33
NA,"rodovia guaruja-bertioga","Guarujá","São Paulo",26
NA,"estrada que leva a trilha do obuseiro","Guarujá","São Paulo",26
NA,"mata de encosta","Guarujá","São Paulo",23
NA,"Ilha das Palmas","Guarujá","São Paulo",23
NA,"Prainha Branca","Guarujá","São Paulo",18
NA,"parcela 19","Guarujá","São Paulo",17
NA,"Serra do Itapeti","Mogi das Cruzes","São Paulo",82
NA,"Serra do Itapeti, Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo","Mogi das Cruzes","São Paulo",47
NA,"Parque Natural Municipal Afonso de Mello-Chiquinho Veríssimo","Mogi das Cruzes","São Paulo",47
NA,"Água Fria","Santo André","São Paulo",33
NA,"Parque Natural Nascentes de Paranapiacaba","Santo André","São Paulo",29
NA,"Parque Natural Municipal Francisco Afonso de Mello","Mogi das Cruzes","São Paulo",27
NA,"Serra do Itapeti, Parque Natural Municipal Francisco Afonso de Mello - Chiquinho Veríssimo","Mogi das Cruzes","São Paulo",26
NA,"Chiquinho Veríssimo","Mogi das Cruzes","São Paulo",26
NA,"Parque Natural Municipal Nascentes de Paranapiacaba","Santo André","São Paulo",21
NA,"Cume do Pico do Urubu","Mogi das Cruzes","São Paulo",15
NA,"Parque Municipal da Serra de Itapety","","São Paulo",14
NA,"Olho D'Água","Santo André","São Paulo",14
NA,"Munic. Mogi das Cruzes, Parque Municipal da Serra de Itapety","","São Paulo",14
NA,"Munic","","São Paulo",14
NA,"Estrada Cinco Estrelas","Mogi das Cruzes","São Paulo",13
NA,"Estrada de Acesso ao Pico do Urubu","Mogi das Cruzes","São Paulo",11
NA,"estacao biologicado alto da serra de paranapiacaba","Santo André","São Paulo",10
NA,"do Alto da Serra de Paranapiacaba","Santo André","São Paulo",10
NA,"State of São Paulo","Mogi das Cruzes","São Paulo",8
NA,"Parque Natural Municipal Nascentes de Paranapiacaba, Água Fria","Santo André","São Paulo",8
NA,"Mogi das Cruzes - State of São Paulo, Brazil","Mogi das Cruzes","São Paulo",8
NA,"Trilha 17","Santo André","São Paulo",7
NA,"Pico do Urubu","Mogi das Cruzes","São Paulo",7
NA,"Parque Natural Nascentes de Paranapiacaba, Água Fria. Parcela 30","Santo André","São Paulo",5
NA,"Parcela 30","Santo André","São Paulo",5
NA,"Floresta Ombrófila Densa Montana","Mogi das Cruzes","São Paulo",5
NA,"Pedreira","Mogi das Cruzes","São Paulo",4
NA,"Empresa EMBU, Pedreira","Mogi das Cruzes","São Paulo",4
NA,"Empresa EMBU","Mogi das Cruzes","São Paulo",4
NA,"E.B. do Alto da Serra de Paranapiacaba, Trilha 17","Santo André","São Paulo",4
NA,"Parque Natural Municipal Nascentes de Paranapiacaba. Água Fria","Santo André","São Paulo",3
NA,"Parque Natural Municipal Nascentes de Paranapiacaba, Olho d'Água","Santo André","São Paulo",3
NA,"Parque Natural Municipal Francisco Affonso de Mello","Mogi das Cruzes","São Paulo",3
NA,"estrada da Gruta","Mogi das Cruzes","São Paulo",3
NA,"reserva particular da votorantim","Tapiraí","São Paulo",1396
NA,"UHE da Barra","Tapiraí","São Paulo",392
NA,"Serra do Cafezal","Miracatu","São Paulo",380
NA,"Projeto ""Levantamento Florístico","Miracatu","São Paulo",375
NA,"Fitossociológico e Inventário Florestal","Miracatu","São Paulo",375
NA,"Obras de Duplicação da BR-116 (km 344-363)#?#","Miracatu","São Paulo",366
NA,"trilha da caixa d'água para vila de moradores","Tapiraí","São Paulo",235
NA,"Reserva Votorantim","Miracatu","São Paulo",222
NA,"Complexo Juquiá","Miracatu","São Paulo",200
NA,"Área da futura duplicação da BR-116 (km 352)","Miracatu","São Paulo",186
NA,"Floresta Ombrófila Densa com áreas antigas de roça em alguns trechos","Tapiraí","São Paulo",185
NA,"Serra de Paranapiacaba","Miracatu","São Paulo",172
NA,"Trilha do Chagas","Tapiraí","São Paulo",160
NA,"UHE Barra","Tapiraí","São Paulo",156
NA,"UHE da Fumaça","Tapiraí","São Paulo",149
NA,"UHE da Serraria","Juquiá","São Paulo",119
NA,"Floresta Ombrófila Densa à margem esquerda do Rio Juquiá","Tapiraí","São Paulo",116
NA,"Citrus","Tapiraí","São Paulo",113
NA,"Reserva Votorantim","Juquiá","São Paulo",109
NA,"trilha da Pedreira","Tapiraí","São Paulo",103
NA,"Trilha da Casa da Pedra, UHE da Serraria, Floresta Ombrófila Densa","Juquiá","São Paulo",103
NA,"Trilha de Dezembro","Tapiraí","São Paulo",102
NA,"entre a UHE Alecrim e Porto Raso","Tapiraí","São Paulo",99
NA,"Complexo Juquiá","Juquiá","São Paulo",90
NA,"Barra","Tapiraí","São Paulo",88
NA,"Parque Estadual de Jacupiranga","Eldorado","São Paulo",81
NA,"BR 116","Miracatu","São Paulo",79
NA,"reserva particular da votorantim","Juquiá","São Paulo",72
NA,"UNICAMP","Miracatu","São Paulo",68
NA,"UHE Barra","Miracatu","São Paulo",59
NA,"Serra da Bocaina","Silveiras","São Paulo",70
NA,"estrada do parque nacional da serra da bocaina para campos novos","Silveiras","São Paulo",60
NA,"Serra da Bocaina","","São Paulo",35
NA,"Perto da cascata","Silveiras","São Paulo",12
NA,"Campos da Bocaina","","São Paulo",9
NA,"caminho para o cachoeirao","Cachoeira Paulista","São Paulo",8
NA,"Serra da Bocaina, Campos da Bocaina, below Pousada Joaninha","","São Paulo",7
NA,"p/Silveiras","Silveiras","São Paulo",7
NA,"estr","Silveiras","São Paulo",7
NA,"Boa Vista Hill","","São Paulo",7
NA,"Boa Vista Hill","Silveiras","São Paulo",7
NA,"below Pousada Joaninha","","São Paulo",7
NA,"Sul","Silveiras","São Paulo",6
NA,"Pinheirinho","Silveiras","São Paulo",6
NA,"Cachoeira das Meninas","","São Paulo",6
NA,"Silveiras Co","Silveiras","São Paulo",5
NA,"serra da bocaina, estrada lageado-macacos","Silveiras","São Paulo",5
NA,"25 km de S","Silveiras","São Paulo",5
NA,"SP 66","Silveiras","São Paulo",4
NA,"Rio das Pedras","","São Paulo",4
NA,"p/Silveiras","","São Paulo",4
NA,"estr","","São Paulo",4
NA,"Estância da Bocaina","Silveiras","São Paulo",4
NA,"do Barreiro perto da faz","Silveiras","São Paulo",4
NA,"parque estadual da cantareira","Mairiporã","São Paulo",646
NA,"Pedra Grande","Atibaia","São Paulo",336
NA,"serra da cantareira","Mairiporã","São Paulo",335
NA,"Mata mesófila semidecídua","Nazaré Paulista","São Paulo",135
NA,"Grota Funda","Atibaia","São Paulo",129
NA,"Região de Águas Claras","Mairiporã","São Paulo",121
NA,"Atibaia","","São Paulo",117
NA,"da sede até a trilha da esquerda na entrada das cachoeiras","Botucatu","São Paulo",115
NA,"Cantareira","Mairiporã","São Paulo",84
NA,"parque estadualcantareira","Mairiporã","São Paulo",78
NA,"Ruderal, em área antropizada","Rio Claro","São Paulo",13
NA,"em área antropizada","Rio Claro","São Paulo",13
NA,"unesp campus bela vista","Rio Claro","São Paulo",6
NA,"próximo do departamento de Microbiologia","Rio Claro","São Paulo",6
NA,"Campus Unesp Bela Vista, próximo do departamento de Microbiologia","Rio Claro","São Paulo",6
NA,"Campus UNESP","Rio Claro","São Paulo",4
NA,"UNESP campus Bela Vista Remanescente de cerrado bastante degradado, área abaixoi do CEIS (Centro de Estudos de Insetos Sociais)","Rio Claro","São Paulo",3
NA,"UNESP campus Bela Vista Remanescente de cerrado bastante degradado","Rio Claro","São Paulo",3
NA,"Tanquã","","São Paulo",3
NA,"Pedra de São Domingos","Piracicaba","São Paulo",3
NA,"ASFAFI. Próximo ao parque junto alambrado","Rio Claro","São Paulo",3
NA,"ASFAFI","Rio Claro","São Paulo",3
NA,"área abaixoi do CEIS (Centro de Estudos de Insetos Sociais)","Rio Claro","São Paulo",3
NA,"unesp campus bela vista area abaixo do ceis","Rio Claro","São Paulo",2
NA,"Piracicaba","","São Paulo",2
NA,"Ibitiruna","","São Paulo",2
NA,"em caminho entre o prédio central do IB e o herbário","Rio Claro","São Paulo",2
NA,"Cultivada no Campus da Unesp, em caminho entre o prédio central do IB e o herbário","Rio Claro","São Paulo",2
NA,"Cultivada no Campus da Unesp","Rio Claro","São Paulo",2
NA,"Vila Indaiá","Rio Claro","São Paulo",1
NA,"Unesp Rio Claro Campus Bela Vista","Rio Claro","São Paulo",1
NA,"Unesp campus Bela Vista. Próximo ao lago do IB","Rio Claro","São Paulo",1
NA,"UNESP campus Bela Vista Área abaixo do CEIS (Centro de Estusos de Insetos Sociais)","Rio Claro","São Paulo",1
NA,"UNESP - Campus Rio Claro, Bairro Bela Vista. Na rota em frente do prédio da administração do Instituto de Biociências","Rio Claro","São Paulo",1
NA,"State of São Paulo","Piracicaba","São Paulo",1
NA,"Represa do Rio Tieté","Botucatu","São Paulo",1
NA,"Próximo ao lago do IB","Rio Claro","São Paulo",1
NA,"Próximo ao Departamento de Botânica","Rio Claro","São Paulo",1
NA,"próximo à Central de Aulas II","Rio Claro","São Paulo",1
NA,"Piracicaba","Piracicaba","São Paulo",1
NA,"Pedra de São Domingos., Mata Nebular","Piracicaba","São Paulo",1
NA,"Na rota em frente do prédio da administração do Instituto de Biociências","Rio Claro","São Paulo",1
NA,"Mata Nebular","Piracicaba","São Paulo",1
NA,"Grêmio Bela Vista","Rio Claro","São Paulo",1
NA,"em caminho entre o prédio central do IB e o herbário","","São Paulo",1
NA,"Cultivada no Campus da Unesp, em caminho entre o prédio central do IB e o herbário","","São Paulo",1
NA,"Cultivada no Campus da Unesp","","São Paulo",1
NA,"Campus Unesp Bela Vista Jardim próximo ao prédio central do IB","Rio Claro","São Paulo",1
NA,"Campus Rio Claro","Rio Claro","São Paulo",1
NA,"Câmpus da Unesp Bela Vista, próximo à Central de Aulas II","Rio Claro","São Paulo",1
NA,"Câmpus da Unesp Bela Vista","Rio Claro","São Paulo",1
NA,"Campus - Unesp. Próximo ao Departamento de Botânica","Rio Claro","São Paulo",1
NA,"Campus","Rio Claro","São Paulo",1
NA,"Bela Vista","Rio Claro","São Paulo",1
NA,"Bairro Bela Vista","Rio Claro","São Paulo",1
NA,"Along the highway São Manuel-Piracicaba, Represa do Rio Tieté","Botucatu","São Paulo",1
NA,"Along the highway São Manuel-Piracicaba","Botucatu","São Paulo",1
NA,"Estação Experimental","Tietê","São Paulo",129
NA,"IAC","Tietê","São Paulo",116
NA,"estacao experimental do iac","Tietê","São Paulo",104
NA,"IAC, Estação Experimental","Tietê","São Paulo",99
NA,"Instituto Agronômico","Tietê","São Paulo",31
NA,"de Tietê","Tietê","São Paulo",20
NA,"mata as margens do rio capivari, a beira de estrada de terra a partir de usina","Tietê","São Paulo",19
NA,"Estação Ecológica de Tietê","Tietê","São Paulo",17
NA,"IAC, Estação Experimental, fragmento próximo à sede e ao canal de escoamento da antiga represa","Tietê","São Paulo",16
NA,"fragmento próximo à sede e ao canal de escoamento da antiga represa","Tietê","São Paulo",16
NA,"região de matas","Tietê","São Paulo",14
NA,"Estação Experimental do IAC, região de matas","Tietê","São Paulo",14
NA,"tiete","Tietê","São Paulo",11
NA,"à beira de estrada de terra à partir de usina","Tietê","São Paulo",11
NA,"Serra do Japi","Jundiaí","São Paulo",9
NA,"Rio Acima","Mogi das Cruzes","São Paulo",161
NA,"cesar de souza","Mogi das Cruzes","São Paulo",131
NA,"A da Várzea do Rio Tietê","Mogi das Cruzes","São Paulo",126
NA,"APA da Várzea","Mogi das Cruzes","São Paulo",125
NA,"solo úmido","Mogi das Cruzes","São Paulo",94
NA,"Cesár de Souza. B. Rio Acima. APA da Várzea","Mogi das Cruzes","São Paulo",94
NA,"de Souza","Mogi das Cruzes","São Paulo",78
NA,"A Várzea","Mogi das Cruzes","São Paulo",78
NA,"Vila Santo Henrique","","São Paulo",76
NA,"Dist","Mogi das Cruzes","São Paulo",66
NA,"Parque Ecológico do Tietê, SP","","São Paulo",65
NA,"Vila Santo Henrique, São Paulo - SP, Brasil","","São Paulo",59
