"Nome_UC","Localidade","Municipio","Estado","Freq"
NA,"Along road to Paraibuna, at 6,7-6,8 km south & 2,15- 2,2 km east of main plaza of city of São José dos Campos","São José dos Campos","São Paulo",6
NA,"8 km south & 2","São José dos Campos","São Paulo",6
NA,"6 1/2 km ao SW (ao longo da Rodovia Pres","São José dos Campos","São Paulo",6
NA,"2 km east of main plaza of city of São José dos Campos","São José dos Campos","São Paulo",6
NA,"100-500m ao lado SE da rod. Pres. Dutra","São José dos Campos","São Paulo",6
NA,"100-500m ao lado SE da rod","São José dos Campos","São Paulo",6
NA,"1/2 km ao S.W da saída para São José dos Campos","São José dos Campos","São Paulo",6
NA,"1/2 km ao S","São José dos Campos","São Paulo",6
NA,"São Paulo highway)","São José dos Campos","São Paulo",5
NA,"On lower part of gentle slope 100 m west of highway","São José dos Campos","São Paulo",5
NA,"10,1 km south of main plaza of city of São José dos Campos (8,1 km S of Rio - São Paulo highway), along road to Paraibuna. On lower part of gentle slope 100 m west of highway","São José dos Campos","São Paulo",5
NA,"1 km south of main plaza of city of São José dos Campos (8","São José dos Campos","São Paulo",5
NA,"1 km S of Rio","São José dos Campos","São Paulo",5
NA,"Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata. Ca. 9,9 km SSE em linha reta da praça principal de São José dos Campos","São José dos Campos","São Paulo",3
NA,"Uma área disjuntiva de cerrado, de várias centenas de km², rodeada antigamente por mata, ca. 8 km SW em linha reta da praça principal de São José dos Campos","São José dos Campos","São Paulo",3
NA,"Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 9,6 km S.S.E. em linha reta da praça principal de São José dos Campos","São José dos Campos","São Paulo",3
NA,"Uma área disjuntiva de cerrado de várias centenas de km²","São José dos Campos","São Paulo",3
NA,"Serra do Japi","Jundiaí","São Paulo",3
NA,"Na trilha do DAE para o observatório","Jundiaí","São Paulo",3
NA,"em linha reta da praça principal de São José dos Campos","São José dos Campos","São Paulo",3
NA,"9 km SSE em linha reta da praça principal de São José dos Campos","São José dos Campos","São Paulo",3
NA,"8 km SW em linha reta da praça principal de São José dos Campos","São José dos Campos","São Paulo",3
NA,"6 km S","São José dos Campos","São Paulo",3
NA,"circa 7km s of main plaza of sao jose dos campos along road to paraibuna","São José dos Campos","São Paulo",2
NA,"Ca. 7km S of main plaza of São José dos campos along road to Paraibuna. (6,5 km S and 2,0 km E of plaza)","São José dos Campos","São Paulo",2
NA,"7km S of main plaza of São José dos campos along road to Paraibuna","São José dos Campos","São Paulo",2
NA,"5 km S and 2","São José dos Campos","São Paulo",2
NA,"0 km E of plaza)","São José dos Campos","São Paulo",2
NA,"at 6","","São Paulo",1
NA,"Along road to Paraibuna, at 6,7-6,8 km south & 2,15- 2,2 km east of main plaza of city of São José dos Campos","","São Paulo",1
NA,"8 km south & 2","","São Paulo",1
NA,"2 km east of main plaza of city of São José dos Campos","","São Paulo",1
NA,"fazenda bacury, antes parte da fazenda barreiro rico","Anhembi","São Paulo",78
NA,"Fazenda Bacury (antes parte da Fazenda Barreiro Rico)","Anhembi","São Paulo",78
NA,"Anhembi","Anhembi","São Paulo",34
NA,"Piracicaba","Piracicaba","São Paulo",6
NA,"Parelheiros","São Paulo","São Paulo",169
NA,"Paulo Guilguer Reimberg","","São Paulo",45
NA,"Jardim Marilda","","São Paulo",43
NA,"Capela Do Socorro, São Paulo, SP, BR","","São Paulo",41
NA,"Capela Do Socorro","","São Paulo",41
NA,"Av. Paulo Guilguer Reimberg, 6300 - Jardim Marilda, São Paulo - SP, 04858-570, Brasil","","São Paulo",40
NA,"Parelheiros","","São Paulo",32
NA,"Trilha à esquerda da casa","São Paulo","São Paulo",23
NA,"Jardim Recanto do Sol","","São Paulo",18
NA,"Parelheiros. Centro Paulus. Trilha à esquerda da casa","São Paulo","São Paulo",16
NA,"Parelheiros, Centro Paulus","São Paulo","São Paulo",15
NA,"Jardim Recanto do Sol, São Paulo - SP, Brasil","","São Paulo",15
NA,"Parelheiros. Centro Paulus","São Paulo","São Paulo",14
NA,"lote 4","São Paulo","São Paulo",14
NA,"Península do Bororé","São Paulo","São Paulo",11
NA,"Rodoanel","São Paulo","São Paulo",9
NA,"grajau","São Paulo","São Paulo",9
NA,"quintal do entrevistado","São Paulo","São Paulo",8
NA,"Península do Bororé, quintal do entrevistado","São Paulo","São Paulo",8
NA,"Fazenda Castanheiras","São Paulo","São Paulo",8
NA,"trecho Sul","São Paulo","São Paulo",7
NA,"São Paulo, BR-SP, BR","São Paulo","São Paulo",7
NA,"Distrito de Parelheiros, matas ao redor da Represa Billings","São Paulo","São Paulo",7
NA,"Parelheiros, São Paulo - SP, 04874, Brasil","","São Paulo",6
NA,"Grajaú","","São Paulo",6
NA,"Jacaré","Cabreúva","São Paulo",212
NA,"Cerrado","Cabreúva","São Paulo",146
NA,"Jacaré. Cerrado","Cabreúva","São Paulo",70
NA,"6""S","Cabreúva","São Paulo",68
NA,"rodovia marechal rondon","Cabreúva","São Paulo",53
NA,"Jacaré. 23o14'13,6""S, 47o02'34,1""W. Cerrado","Cabreúva","São Paulo",50
NA,"Camping Cascata","Cabreúva","São Paulo",28
NA,"Serra do Japi, Camping Cascata. Floresta Estacional Semidecídual","Cabreúva","São Paulo",26
NA,"Serra do Japi","Jundiaí","São Paulo",17
NA,"Cláudio Gianini","Cabreúva","São Paulo",15
NA,"4""W","Cabreúva","São Paulo",14
NA,"2""S","Cabreúva","São Paulo",14
NA,"Rodovia Marechal Rondon (Rodrigues Alves)","Cabreúva","São Paulo",12
NA,"passando o Sítio Santo Antonio","Cabreúva","São Paulo",11
NA,"Mata mesófila semidecídua","Cabreúva","São Paulo",11
NA,"Jacaré. 23o16'00,2""S, 47o01'40,4""W. Cerrado","Cabreúva","São Paulo",11
NA,"UNIDAM","Jundiaí","São Paulo",10
NA,"Unidade de Desenvolvimento Ambiental - UNIDAM","Jundiaí","São Paulo",10
NA,"Unidade de Desenvolvimento Ambiental","Jundiaí","São Paulo",10
NA,"Cabuçu","Guarulhos","São Paulo",35
NA,"Rodoanel Mário Covas","Guarulhos","São Paulo",34
NA,"próximo ao emboque do túnel 7","Guarulhos","São Paulo",15
NA,"Invernada, próximo ao emboque do túnel 7","Guarulhos","São Paulo",15
NA,"Invernada","Guarulhos","São Paulo",15
NA,"Pico Pelado","Guarulhos","São Paulo",11
NA,"rodoanel norte","Guarulhos","São Paulo",8
NA,"Cabuçu, Acampamento Mackenzie","Guarulhos","São Paulo",8
NA,"Acampamento Mackenzie","Guarulhos","São Paulo",8
NA,"Proguaru","Guarulhos","São Paulo",7
NA,"Jardim Bananal","Guarulhos","São Paulo",7
NA,"Divisa de Guarulhos com São Paulo","Guarulhos","São Paulo",7
NA,"Jacutinga","Guarulhos","São Paulo",6
NA,"Próximo ao Sítio B","Guarulhos","São Paulo",5
NA,"Núcleo Cabuçu","Guarulhos","São Paulo",5
NA,"Instituto Manuel Giesteira","Guarulhos","São Paulo",5
NA,"Guarulhos","","São Paulo",5
NA,"estrada para o parque estadual da serra da cantareira","Guarulhos","São Paulo",5
NA,"Estrada para o P.E. da Serra da Cantareira, Núcleo Cabuçu","Guarulhos","São Paulo",5
NA,"Estrada para o P","Guarulhos","São Paulo",5
NA,"Estrada do Cabuçu","Guarulhos","São Paulo",5
NA,"da Serra da Cantareira","Guarulhos","São Paulo",5
NA,"Cabuçu. Próximo ao Sítio B. Jacutinga","Guarulhos","São Paulo",5
NA,"Alça de acesso ao Aeroporto de Guarulhos","Guarulhos","São Paulo",5
NA,"Sítio Sr","Guarulhos","São Paulo",4
NA,"OAE 423","Guarulhos","São Paulo",4
NA,"Lote 5 entre a OAE 503 e emboque oeste 501","Guarulhos","São Paulo",4
