"country","stateProvince","municipality","country.new","stateProvince.new","municipality.new","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","Rondônia","Cujubim","brazil","rondonia","cujubim","municipality","brazil_NA_cujubim","brazil_rondonia_cujubim",-9.170952698,-62.56508821,"county"
"Brazil","Rondônia","Governador Jorge Teixeira","brazil","rondonia","governador jorge teixeira","municipality","brazil_NA_governador jorge teixeira","brazil_rondonia_governador jorge teixeira",-10.74802496,-63.1839641,"county"
"Brazil","Rondônia","Itapuã do Oeste","brazil","rondonia","itapua do oeste","municipality","brazil_NA_itapua oeste","brazil_rondonia_itapua oeste",-9.170171001,-63.04502402,"county"
"Brazil","Rondônia","Ministro Andreazza","brazil","rondonia","ministro andreazza","municipality","brazil_NA_ministro andreazza","brazil_rondonia_ministro andreazza",-11.16032314,-61.5688988,"county"
"Brazil","Rondônia","Mirante da Serra","brazil","rondonia","mirante da serra","municipality","brazil_NA_mirante serra","brazil_rondonia_mirante serra",-11.0769422,-62.84825931,"county"
"Brazil","Rondônia","Monte Negro","brazil","rondonia","monte negro","municipality","brazil_NA_monte negro","brazil_rondonia_monte negro",-10.21077664,-63.37229149,"county"
"Brazil","Rondônia","Nova União","brazil","rondonia","nova uniao","municipality","brazil_NA_nova uniao","brazil_rondonia_nova uniao",-10.88943073,-62.53251744,"county"
"Brazil","Rondônia","Parecis","brazil","rondonia","parecis","municipality","brazil_NA_parecis","brazil_rondonia_parecis",-12.26231878,-61.41514886,"county"
"Brazil","Rondônia","Pimenteiras do Oeste","brazil","rondonia","pimenteiras do oeste","municipality","brazil_NA_pimenteiras oeste","brazil_rondonia_pimenteiras oeste",-13.01273,-61.73762,"county"
"Brazil","Rondônia","Primavera de Rondônia","brazil","rondonia","primavera de rondonia","municipality","brazil_NA_primavera rondonia","brazil_rondonia_primavera rondonia",-11.87854268,-61.31522417,"county"
"Brazil","Rondônia","São Felipe D'oeste","brazil","rondonia","sao felipe d'oeste","municipality","brazil_NA_sao felipe oeste","brazil_rondonia_sao felipe oeste",-11.76694539,-62.44237399,"county"
"Brazil","Rondônia","São Francisco do Guaporé","brazil","rondonia","sao francisco do guapore","municipality","brazil_NA_sao francisco guapore","brazil_rondonia_sao francisco guapore",-12.47295039,-62.27663443,"county"
"Brazil","Rondônia","Seringueiras","brazil","rondonia","seringueiras","municipality","brazil_NA_seringueiras","brazil_rondonia_seringueiras",-11.88417286,-63.1211642,"county"
"Brazil","Rondônia","Teixeirópolis","brazil","rondonia","teixeiropolis","municipality","brazil_NA_teixeiropolis","brazil_rondonia_teixeiropolis",-10.94350037,-62.2799137,"county"
"Brazil","Rondônia","Theobroma","brazil","rondonia","theobroma","municipality","brazil_NA_theobroma","brazil_rondonia_theobroma",-10.12176396,-62.34235543,"county"
"Brazil","Rondônia","Urupá","brazil","rondonia","urupa","municipality","brazil_NA_urupa","brazil_rondonia_urupa",-11.10392945,-62.4239815,"county"
"Brazil","Rondônia","Vale do Anari","brazil","rondonia","vale do anari","municipality","brazil_NA_vale anari","brazil_rondonia_vale anari",-9.732576757,-61.93927629,"county"
"Brazil","Rondônia","Vale do Paraíso","brazil","rondonia","vale do paraiso","municipality","brazil_NA_vale paraiso","brazil_rondonia_vale paraiso",-10.61034263,-62.17235881,"county"
"Brazil","Acre","Acrelândia","brazil","acre","acrelandia","municipality","brazil_NA_acrelandia","brazil_acre_acrelandia",-9.928786085,-66.93057363,"county"
"Brazil","Acre","Assis Brasil","brazil","acre","assis brasil","municipality","brazil_NA_assis brasil","brazil_acre_assis brasil",-10.87442377,-70.16259514,"county"
"Brazil","Acre","Brasiléia","brazil","acre","brasileia","municipality","brazil_NA_brasileia","brazil_acre_brasileia",-10.76825376,-69.15011225,"county"
