"country","stateProvince","municipality","locality","latitude","longitude","country.new","stateProvince.new","municipality.new","locality.new","locality.scrap","resol.orig","loc","loc.correct","latitude.gazetteer","longitude.gazetteer","resolution.gazetteer"
"Brazil","São Paulo","Colina","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CAVA II","-20.7863483024001","-48.6483792095763","brazil","sao paulo","colina","reserva particular do patrimonio natural cava ii",NA,"locality","brazil_sao paulo_colina","brazil_sao paulo_colina",-20.746068,-48.58862247,"county"
"Brazil","São Paulo","Mogi Mirim","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE FLORESTAL SÃO MARCELO","-22.3928846666656","-46.9836609727608","brazil","sao paulo","mogi mirim","reserva particular do patrimonio natural parque florestal sao marcelo",NA,"locality","brazil_sao paulo_mogi mirim","brazil_sao paulo_mogi mirim",-22.45067412,-46.98847138,"county"
"Brazil","São Paulo","São José do Barreiro","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CABURÉ","-22.7416118855195","-44.5473525199066","brazil","sao paulo","sao jose do barreiro","reserva particular do patrimonio natural cabure",NA,"locality","brazil_sao paulo_sao jose barreiro","brazil_sao paulo_sao jose barreiro",-22.74888367,-44.58687717,"county"
"Brazil","São Paulo","Bragança Paulista","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DAS NASCENTES","-22.9890245534153","-46.6787340783877","brazil","sao paulo","braganca paulista","reserva particular do patrimonio natural parque das nascentes",NA,"locality","brazil_sao paulo_braganca paulista","brazil_sao paulo_braganca paulista",-22.93823956,-46.55574894,"county"
"Brazil","São Paulo","São Luiz do Paraitinga","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÍTIO PRIMAVERA","-23.3216244703752","-45.1507451227478","brazil","sao paulo","sao luiz do paraitinga","reserva particular do patrimonio natural sitio primavera",NA,"locality","brazil_sao paulo_sao luiz paraitinga","brazil_sao paulo_sao luis paraitinga",-23.23994148,-45.25375581,"county"
"Brazil","São Paulo","Ubatuba","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MORRO DO CURUSSU MIRIM","-23.430856524125","-45.0647903377102","brazil","sao paulo","ubatuba","reserva particular do patrimonio natural morro do curussu mirim",NA,"locality","brazil_sao paulo_ubatuba","brazil_sao paulo_ubatuba",-23.37925694,-45.02408879,"county"
"Brazil","São Paulo","Serra Azul","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA PALMIRA","-21.3493286299134","-47.6043225526309","brazil","sao paulo","serra azul","reserva particular do patrimonio natural fazenda palmira",NA,"locality","brazil_sao paulo_serra azul","brazil_sao paulo_serra azul",-21.31573651,-47.54951614,"county"
"Brazil","São Paulo","Pirapora do Bom Jesus","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA","-23.4317639772478","-47.0166258697753","brazil","sao paulo","pirapora do bom jesus","reserva particular do patrimonio natural voturuna",NA,"locality","brazil_sao paulo_pirapora bom jesus","brazil_sao paulo_pirapora bom jesus",-23.37795034,-46.98465022,"county"
"Brazil","São Paulo","Santana de Parnaíba","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA","-23.435156646889","-47.0168538668393","brazil","sao paulo","santana de parnaiba","reserva particular do patrimonio natural voturuna",NA,"locality","brazil_sao paulo_santana parnaiba","brazil_sao paulo_santana parnaiba",-23.4490073,-46.91563884,"county"
"Brazil","São Paulo","Santana de Parnaíba","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL VOTURUNA II","-23.4376621304032","-47.0107314622423","brazil","sao paulo","santana de parnaiba","reserva particular do patrimonio natural voturuna ii",NA,"locality","brazil_sao paulo_santana parnaiba","brazil_sao paulo_santana parnaiba",-23.4490073,-46.91563884,"county"
