"","country","stateProvince","municipality","locality","loc","loc.correct","latitude","longitude","resolution.gazetteer","source"
"253","Brazil","São Paulo","Águas da Prata","PE ÁGUAS DA PRATA","brazil_sao paulo_aguas prata_pe aguas prata","brazil_sao paulo_aguas prata_pe aguas prata","-21.9306459428606","-46.7139418087729","locality","cnuc_ibge"
"794","Brazil","São Paulo","Águas da Prata","PE ÁGUAS DA PRATA","brazil_sao paulo_aguas prata_parque estadual aguas prata","brazil_sao paulo_aguas prata_pe aguas prata","-21.9306459428606","-46.7139418087729","locality","cnuc_ibge"
"314","Brazil","São Paulo","Águas de Santa Bárbara","EEC DE SANTA BÁRBARA","brazil_sao paulo_aguas santa barbara_eec santa barbara","brazil_sao paulo_aguas santa barbara_eec santa barbara","-22.8107767496473","-49.2233609524356","locality","cnuc_ibge"
"855","Brazil","São Paulo","Águas de Santa Bárbara","EEC DE SANTA BÁRBARA","brazil_sao paulo_aguas santa barbara_estacao ecologica santa barbara","brazil_sao paulo_aguas santa barbara_eec santa barbara","-22.8107767496473","-49.2233609524356","locality","cnuc_ibge"
"431","Brazil","São Paulo","Agudos","APA RIO BATALHA","brazil_sao paulo_agudos_apa rio batalha","brazil_sao paulo_agudos_apa rio batalha","-22.4545440617077","-49.0520309272009","locality","cnuc_ibge"
"972","Brazil","São Paulo","Agudos","APA RIO BATALHA","brazil_sao paulo_agudos_area protecao ambiental rio batalha","brazil_sao paulo_agudos_apa rio batalha","-22.4545440617077","-49.0520309272009","locality","cnuc_ibge"
"536","Brazil","São Paulo","Agudos","ARIE LEOPOLDO MAGNO COUTINHO","brazil_sao paulo_agudos_arie leopoldo magno coutinho","brazil_sao paulo_agudos_arie leopoldo magno coutinho","-22.3699911523338","-48.9687464803468","locality","cnuc_ibge"
"1077","Brazil","São Paulo","Agudos","ARIE LEOPOLDO MAGNO COUTINHO","brazil_sao paulo_agudos_area relevante interesse ecologico leopoldo magno coutinho","brazil_sao paulo_agudos_arie leopoldo magno coutinho","-22.3699911523338","-48.9687464803468","locality","cnuc_ibge"
"387","Brazil","São Paulo","Alumínio","APA ITUPARARANGA","brazil_sao paulo_aluminio_apa itupararanga","brazil_sao paulo_aluminio_apa itupararanga","-23.5790316446835","-47.2899946036653","locality","cnuc_ibge"
"928","Brazil","São Paulo","Alumínio","APA ITUPARARANGA","brazil_sao paulo_aluminio_area protecao ambiental itupararanga","brazil_sao paulo_aluminio_apa itupararanga","-23.5790316446835","-47.2899946036653","locality","cnuc_ibge"
"260","Brazil","São Paulo","Alvinlândia","EEC DOS CAETETUS","brazil_sao paulo_alvinlandia_eec caetetus","brazil_sao paulo_alvinlandia_eec caetetus","-22.4079561415617","-49.7159685404861","locality","cnuc_ibge"
"801","Brazil","São Paulo","Alvinlândia","EEC DOS CAETETUS","brazil_sao paulo_alvinlandia_estacao ecologica caetetus","brazil_sao paulo_alvinlandia_eec caetetus","-22.4079561415617","-49.7159685404861","locality","cnuc_ibge"
"408","Brazil","São Paulo","Amparo","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii","-22.7152823168081","-46.7997269886414","locality","cnuc_ibge"
"949","Brazil","São Paulo","Amparo","APA PIRACICABA JUQUERÍ-MIRIM AREA II","brazil_sao paulo_amparo_area protecao ambiental piracicaba juqueri mirim area ii","brazil_sao paulo_amparo_apa piracicaba juqueri mirim area ii","-22.7152823168081","-46.7997269886414","locality","cnuc_ibge"
"169","Brazil","São Paulo","Amparo","RPPN DUAS CACHOEIRAS","brazil_sao paulo_amparo_rppn duas cachoeiras","brazil_sao paulo_amparo_rppn duas cachoeiras","-22.7567666455722","-46.8083495879024","locality","cnuc_ibge"
"710","Brazil","São Paulo","Amparo","RPPN DUAS CACHOEIRAS","brazil_sao paulo_amparo_reserva particular patrimonio natural duas cachoeiras","brazil_sao paulo_amparo_rppn duas cachoeiras","-22.7567666455722","-46.8083495879024","locality","cnuc_ibge"
"350","Brazil","São Paulo","Analândia","APA CUESTA CORUMBATAÍ","brazil_sao paulo_analandia_apa cuesta corumbatai","brazil_sao paulo_analandia_apa cuesta corumbatai","-22.1301497446032","-47.7065419259573","locality","cnuc_ibge"
"891","Brazil","São Paulo","Analândia","APA CUESTA CORUMBATAÍ","brazil_sao paulo_analandia_area protecao ambiental cuesta corumbatai","brazil_sao paulo_analandia_apa cuesta corumbatai","-22.1301497446032","-47.7065419259573","locality","cnuc_ibge"
"403","Brazil","São Paulo","Analândia","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i","-22.1460102988155","-47.6727863877656","locality","cnuc_ibge"
"944","Brazil","São Paulo","Analândia","APA PIRACICABA JUQUERI MIRIM ÁREA I","brazil_sao paulo_analandia_area protecao ambiental piracicaba juqueri mirim area i","brazil_sao paulo_analandia_apa piracicaba juqueri mirim area i","-22.1460102988155","-47.6727863877656","locality","cnuc_ibge"
"363","Brazil","São Paulo","Angatuba","APA CUESTA GUARANI","brazil_sao paulo_angatuba_apa cuesta guarani","brazil_sao paulo_angatuba_apa cuesta guarani","-23.2771458946214","-48.4278593074893","locality","cnuc_ibge"
"904","Brazil","São Paulo","Angatuba","APA CUESTA GUARANI","brazil_sao paulo_angatuba_area protecao ambiental cuesta guarani","brazil_sao paulo_angatuba_apa cuesta guarani","-23.2771458946214","-48.4278593074893","locality","cnuc_ibge"
"131","Brazil","São Paulo","Angatuba","EEC DE ANGATUBA","brazil_sao paulo_angatuba_eec angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba","-23.4145644531636","-48.3610591580058","locality","cnuc_ibge"
"672","Brazil","São Paulo","Angatuba","EEC DE ANGATUBA","brazil_sao paulo_angatuba_estacao ecologica angatuba","brazil_sao paulo_angatuba_estacao ecologica angatuba","-23.4145644531636","-48.3610591580058","locality","cnuc_ibge"
"484","Brazil","São Paulo","Anhembi","APA TANQUÃ-RIO PIRACICABA","brazil_sao paulo_anhembi_apa tanqua rio piracicaba","brazil_sao paulo_anhembi_apa tanqua rio piracicaba","-22.6296396420852","-48.1614183846845","locality","cnuc_ibge"
"1025","Brazil","São Paulo","Anhembi","APA TANQUÃ-RIO PIRACICABA","brazil_sao paulo_anhembi_area protecao ambiental tanqua rio piracicaba","brazil_sao paulo_anhembi_apa tanqua rio piracicaba","-22.6296396420852","-48.1614183846845","locality","cnuc_ibge"
"476","Brazil","São Paulo","Anhembi","AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico","-22.6699500585822","-48.1617584413481","locality","cnuc_ibge"
"1017","Brazil","São Paulo","Anhembi","AREA DE PROTEÇÃO AMBIENTAL BARREIRO RICO","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico","brazil_sao paulo_anhembi_area protecao ambiental barreiro rico","-22.6699500585822","-48.1617584413481","locality","cnuc_ibge"
"73","Brazil","São Paulo","Anhembi","EEC DO BARREIRO RICO","brazil_sao paulo_anhembi_eec barreiro rico","brazil_sao paulo_anhembi_eec barreiro rico","-22.677066001587","-48.1489660856913","locality","cnuc_ibge"
"614","Brazil","São Paulo","Anhembi","EEC DO BARREIRO RICO","brazil_sao paulo_anhembi_estacao ecologica barreiro rico","brazil_sao paulo_anhembi_eec barreiro rico","-22.677066001587","-48.1489660856913","locality","cnuc_ibge"
"34","Brazil","São Paulo","Apiaí","PE TURÍSTICO DO ALTO DO RIBEIRA","brazil_sao paulo_apiai_pe turistico alto ribeira","brazil_sao paulo_apiai_pe turistico alto ribeira","-24.4047585161994","-48.5728822427788","locality","cnuc_ibge"
"575","Brazil","São Paulo","Apiaí","PE TURÍSTICO DO ALTO DO RIBEIRA","brazil_sao paulo_apiai_parque estadual turistico alto ribeira","brazil_sao paulo_apiai_pe turistico alto ribeira","-24.4047585161994","-48.5728822427788","locality","cnuc_ibge"
"138","Brazil","São Paulo","Apiaí","PNM MORRO DO OURO","brazil_sao paulo_apiai_pnm morro ouro","brazil_sao paulo_apiai_pnm morro ouro","-24.5175728361247","-48.8267988614434","locality","cnuc_ibge"
"679","Brazil","São Paulo","Apiaí","PNM MORRO DO OURO","brazil_sao paulo_apiai_parque natural municipal morro ouro","brazil_sao paulo_apiai_pnm morro ouro","-24.5175728361247","-48.8267988614434","locality","cnuc_ibge"
"234","Brazil","São Paulo","Araçariguama","RPPN SÍTIO PITHON","brazil_sao paulo_aracariguama_rppn sitio pithon","brazil_sao paulo_aracariguama_rppn sitio pithon","-23.4336805336285","-47.0754167703232","locality","cnuc_ibge"
"775","Brazil","São Paulo","Araçariguama","RPPN SÍTIO PITHON","brazil_sao paulo_aracariguama_reserva particular patrimonio natural sitio pithon","brazil_sao paulo_aracariguama_rppn sitio pithon","-23.4336805336285","-47.0754167703232","locality","cnuc_ibge"
"280","Brazil","São Paulo","Araçoiaba da Serra","FLONA DE IPANEMA","brazil_sao paulo_aracoiaba serra_flona ipanema","brazil_sao paulo_aracoiaba serra_flona ipanema","-23.4571642364446","-47.6360232468993","locality","cnuc_ibge"
"821","Brazil","São Paulo","Araçoiaba da Serra","FLONA DE IPANEMA","brazil_sao paulo_aracoiaba serra_floresta nacional ipanema","brazil_sao paulo_aracoiaba serra_flona ipanema","-23.4571642364446","-47.6360232468993","locality","cnuc_ibge"
"245","Brazil","São Paulo","Araçoiaba da Serra","RPPN CENTRO DE VIVÊNCIA COM A NATUREZA - CVN","brazil_sao paulo_aracoiaba serra_rppn centro vivencia com a natureza","brazil_sao paulo_aracoiaba serra_rppn centro vivencia com a natureza","-23.5332210199751","-47.6504618421653","locality","cnuc_ibge"
"786","Brazil","São Paulo","Araçoiaba da Serra","RPPN CENTRO DE VIVÊNCIA COM A NATUREZA - CVN","brazil_sao paulo_aracoiaba serra_reserva particular patrimonio natural centro vivencia com a natureza","brazil_sao paulo_aracoiaba serra_rppn centro vivencia com a natureza","-23.5332210199751","-47.6504618421653","locality","cnuc_ibge"
"247","Brazil","São Paulo","Araçoiaba da Serra","RPPN FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL","brazil_sao paulo_aracoiaba serra_rppn floresta negra, parque natural para estudos","brazil_sao paulo_aracoiaba serra_rppn floresta negra, parque natural para estudos","-23.5417890876462","-47.674399912011","locality","cnuc_ibge"
"788","Brazil","São Paulo","Araçoiaba da Serra","RPPN FLORESTA NEGRA, PARQUE NATURAL PARA ESTUDOS, PESQUISA E EDUCAÇÃO AMBIENTAL","brazil_sao paulo_aracoiaba serra_reserva particular patrimonio natural floresta negra, parque natural para estudos","brazil_sao paulo_aracoiaba serra_rppn floresta negra, parque natural para estudos","-23.5417890876462","-47.674399912011","locality","cnuc_ibge"
"168","Brazil","São Paulo","Araraquara","PNM DO BASALTO","brazil_sao paulo_araraquara_pnm basalto","brazil_sao paulo_araraquara_pnm basalto","-21.7716994458679","-48.130815661353","locality","cnuc_ibge"
"709","Brazil","São Paulo","Araraquara","PNM DO BASALTO","brazil_sao paulo_araraquara_parque natural municipal basalto","brazil_sao paulo_araraquara_pnm basalto","-21.7716994458679","-48.130815661353","locality","cnuc_ibge"
"311","Brazil","São Paulo","Araras","EEC DE MOGI-GUAÇU","brazil_sao paulo_araras_eec mogi guacu","brazil_sao paulo_araras_eec mogi guacu","-22.278835260644","-47.1896679435619","locality","cnuc_ibge"
"852","Brazil","São Paulo","Araras","EEC DE MOGI-GUAÇU","brazil_sao paulo_araras_estacao ecologica mogi guacu","brazil_sao paulo_araras_eec mogi guacu","-22.278835260644","-47.1896679435619","locality","cnuc_ibge"
"51","Brazil","São Paulo","Areias","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_areias_apa bacia paraiba sul","brazil_sao paulo_areias_apa bacia paraiba sul","-22.6186543024042","-44.72848928743","locality","cnuc_ibge"
"592","Brazil","São Paulo","Areias","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_areias_area protecao ambiental bacia paraiba sul","brazil_sao paulo_areias_apa bacia paraiba sul","-22.6186543024042","-44.72848928743","locality","cnuc_ibge"
"21","Brazil","São Paulo","Areias","PARNA DA SERRA DA BOCAINA","brazil_sao paulo_areias_parna serra bocaina","brazil_sao paulo_areias_parna serra bocaina","-22.8023709327192","-44.684411451908","locality","cnuc_ibge"
"562","Brazil","São Paulo","Areias","PARNA DA SERRA DA BOCAINA","brazil_sao paulo_areias_parque nacional serra bocaina","brazil_sao paulo_areias_parna serra bocaina","-22.8023709327192","-44.684411451908","locality","cnuc_ibge"
"52","Brazil","São Paulo","Arujá","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_aruja_apa bacia paraiba sul","brazil_sao paulo_aruja_apa bacia paraiba sul","-23.3581391513951","-46.3246603704873","locality","cnuc_ibge"
"593","Brazil","São Paulo","Arujá","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_aruja_area protecao ambiental bacia paraiba sul","brazil_sao paulo_aruja_apa bacia paraiba sul","-23.3581391513951","-46.3246603704873","locality","cnuc_ibge"
"90","Brazil","São Paulo","Arujá","PE DE ITABERABA","brazil_sao paulo_aruja_pe itaberaba","brazil_sao paulo_aruja_pe itaberaba","-23.3494739605519","-46.3434992354722","locality","cnuc_ibge"
"631","Brazil","São Paulo","Arujá","PE DE ITABERABA","brazil_sao paulo_aruja_parque estadual itaberaba","brazil_sao paulo_aruja_pe itaberaba","-23.3494739605519","-46.3434992354722","locality","cnuc_ibge"
"303","Brazil","São Paulo","Assis","EEC DE ASSIS","brazil_sao paulo_assis_eec assis","brazil_sao paulo_assis_eec assis","-22.5905682646606","-50.3818017645302","locality","cnuc_ibge"
"844","Brazil","São Paulo","Assis","EEC DE ASSIS","brazil_sao paulo_assis_estacao ecologica assis","brazil_sao paulo_assis_eec assis","-22.5905682646606","-50.3818017645302","locality","cnuc_ibge"
"492","Brazil","São Paulo","Assis","FE DE ASSIS","brazil_sao paulo_assis_fe assis","brazil_sao paulo_assis_floresta estadual assis","-22.597220566859","-50.4089618301667","locality","cnuc_ibge"
"1033","Brazil","São Paulo","Assis","FE DE ASSIS","brazil_sao paulo_assis_floresta estadual assis","brazil_sao paulo_assis_floresta estadual assis","-22.597220566859","-50.4089618301667","locality","cnuc_ibge"
"430","Brazil","São Paulo","Atibaia","APA REPRESA BAIRRO DA USINA","brazil_sao paulo_atibaia_apa represa bairro usina","brazil_sao paulo_atibaia_apa represa bairro usina","-23.0907131059809","-46.6363380499769","locality","cnuc_ibge"
"971","Brazil","São Paulo","Atibaia","APA REPRESA BAIRRO DA USINA","brazil_sao paulo_atibaia_area protecao ambiental represa bairro usina","brazil_sao paulo_atibaia_apa represa bairro usina","-23.0907131059809","-46.6363380499769","locality","cnuc_ibge"
"456","Brazil","São Paulo","Atibaia","APA SISTEMA CANTAREIRA","brazil_sao paulo_atibaia_apa sistema cantareira","brazil_sao paulo_atibaia_apa sistema cantareira","-23.1232014240542","-46.5867069889878","locality","cnuc_ibge"
"997","Brazil","São Paulo","Atibaia","APA SISTEMA CANTAREIRA","brazil_sao paulo_atibaia_area protecao ambiental sistema cantareira","brazil_sao paulo_atibaia_apa sistema cantareira","-23.1232014240542","-46.5867069889878","locality","cnuc_ibge"
"95","Brazil","São Paulo","Atibaia","MNE DA PEDRA GRANDE","brazil_sao paulo_atibaia_mne pedra grande","brazil_sao paulo_atibaia_monumento natural estadual pedra grande","-23.203652804117","-46.5348072190983","locality","cnuc_ibge"
"636","Brazil","São Paulo","Atibaia","MNE DA PEDRA GRANDE","brazil_sao paulo_atibaia_monumento natural estadual pedra grande","brazil_sao paulo_atibaia_monumento natural estadual pedra grande","-23.203652804117","-46.5348072190983","locality","cnuc_ibge"
"86","Brazil","São Paulo","Atibaia","PE DE ITAPETINGA","brazil_sao paulo_atibaia_pe itapetinga","brazil_sao paulo_atibaia_pe itapetinga","-23.1638964750723","-46.5274315891959","locality","cnuc_ibge"
"627","Brazil","São Paulo","Atibaia","PE DE ITAPETINGA","brazil_sao paulo_atibaia_parque estadual itapetinga","brazil_sao paulo_atibaia_pe itapetinga","-23.1638964750723","-46.5274315891959","locality","cnuc_ibge"
"217","Brazil","São Paulo","Atibaia","RPPN ECOWORLD","brazil_sao paulo_atibaia_rppn ecoworld","brazil_sao paulo_atibaia_rppn ecoworld","-23.1688379800047","-46.5328948625181","locality","cnuc_ibge"
"758","Brazil","São Paulo","Atibaia","RPPN ECOWORLD","brazil_sao paulo_atibaia_reserva particular patrimonio natural ecoworld","brazil_sao paulo_atibaia_rppn ecoworld","-23.1688379800047","-46.5328948625181","locality","cnuc_ibge"
"205","Brazil","São Paulo","Atibaia","RPPN RESERVA DO DADINHO","brazil_sao paulo_atibaia_rppn reserva dadinho","brazil_sao paulo_atibaia_rppn reserva dadinho","-23.1394487359431","-46.5072225570499","locality","cnuc_ibge"
"746","Brazil","São Paulo","Atibaia","RPPN RESERVA DO DADINHO","brazil_sao paulo_atibaia_reserva particular patrimonio natural reserva dadinho","brazil_sao paulo_atibaia_rppn reserva dadinho","-23.1394487359431","-46.5072225570499","locality","cnuc_ibge"
"195","Brazil","São Paulo","Atibaia","RPPN RESERVA DO JACU","brazil_sao paulo_atibaia_rppn reserva jacu","brazil_sao paulo_atibaia_rppn reserva jacu","-23.2057752037399","-46.5395635076","locality","cnuc_ibge"
"736","Brazil","São Paulo","Atibaia","RPPN RESERVA DO JACU","brazil_sao paulo_atibaia_reserva particular patrimonio natural reserva jacu","brazil_sao paulo_atibaia_rppn reserva jacu","-23.2057752037399","-46.5395635076","locality","cnuc_ibge"
"155","Brazil","São Paulo","Atibaia","RPPN SÍTIO SOLAR DA MONTANHA","brazil_sao paulo_atibaia_rppn sitio solar montanha","brazil_sao paulo_atibaia_rppn sitio solar montanha","-23.2198838094556","-46.5484635288475","locality","cnuc_ibge"
"696","Brazil","São Paulo","Atibaia","RPPN SÍTIO SOLAR DA MONTANHA","brazil_sao paulo_atibaia_reserva particular patrimonio natural sitio solar montanha","brazil_sao paulo_atibaia_rppn sitio solar montanha","-23.2198838094556","-46.5484635288475","locality","cnuc_ibge"
"432","Brazil","São Paulo","Avaí","APA RIO BATALHA","brazil_sao paulo_avai_apa rio batalha","brazil_sao paulo_avai_apa rio batalha","-22.1871533489846","-49.3161918876219","locality","cnuc_ibge"
"973","Brazil","São Paulo","Avaí","APA RIO BATALHA","brazil_sao paulo_avai_area protecao ambiental rio batalha","brazil_sao paulo_avai_apa rio batalha","-22.1871533489846","-49.3161918876219","locality","cnuc_ibge"
"364","Brazil","São Paulo","Avaré","APA CUESTA GUARANI","brazil_sao paulo_avare_apa cuesta guarani","brazil_sao paulo_avare_apa cuesta guarani","-23.2035768518817","-48.8380332958503","locality","cnuc_ibge"
"905","Brazil","São Paulo","Avaré","APA CUESTA GUARANI","brazil_sao paulo_avare_area protecao ambiental cuesta guarani","brazil_sao paulo_avare_apa cuesta guarani","-23.2035768518817","-48.8380332958503","locality","cnuc_ibge"
"113","Brazil","São Paulo","Avaré","EEC DE AVARÉ","brazil_sao paulo_avare_eec avare","brazil_sao paulo_avare_eec avare","-23.0102055842569","-48.8193171253021","locality","cnuc_ibge"
"654","Brazil","São Paulo","Avaré","EEC DE AVARÉ","brazil_sao paulo_avare_estacao ecologica avare","brazil_sao paulo_avare_eec avare","-23.0102055842569","-48.8193171253021","locality","cnuc_ibge"
"183","Brazil","São Paulo","Avaré","RPPN SÃO LOURENÇO","brazil_sao paulo_avare_rppn sao lourenco","brazil_sao paulo_avare_rppn sao lourenco","-22.9354413623646","-48.9501301387561","locality","cnuc_ibge"
"724","Brazil","São Paulo","Avaré","RPPN SÃO LOURENÇO","brazil_sao paulo_avare_reserva particular patrimonio natural sao lourenco","brazil_sao paulo_avare_rppn sao lourenco","-22.9354413623646","-48.9501301387561","locality","cnuc_ibge"
"433","Brazil","São Paulo","Balbinos","APA RIO BATALHA","brazil_sao paulo_balbinos_apa rio batalha","brazil_sao paulo_balbinos_apa rio batalha","-21.8923195880868","-49.332825825117","locality","cnuc_ibge"
"974","Brazil","São Paulo","Balbinos","APA RIO BATALHA","brazil_sao paulo_balbinos_area protecao ambiental rio batalha","brazil_sao paulo_balbinos_apa rio batalha","-21.8923195880868","-49.332825825117","locality","cnuc_ibge"
"53","Brazil","São Paulo","Bananal","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_bananal_apa bacia paraiba sul","brazil_sao paulo_bananal_apa bacia paraiba sul","-22.7466451971313","-44.3824535644151","locality","cnuc_ibge"
"594","Brazil","São Paulo","Bananal","APA BACIA DO PARAÍBA DO SUL","brazil_sao paulo_bananal_area protecao ambiental bacia paraiba sul","brazil_sao paulo_bananal_apa bacia paraiba sul","-22.7466451971313","-44.3824535644151","locality","cnuc_ibge"
"269","Brazil","São Paulo","Bananal","EEC BANANAL","brazil_sao paulo_bananal_eec bananal","brazil_sao paulo_bananal_eec bananal","-22.7871478192676","-44.3508166510465","locality","cnuc_ibge"
"810","Brazil","São Paulo","Bananal","EEC BANANAL","brazil_sao paulo_bananal_estacao ecologica bananal","brazil_sao paulo_bananal_eec bananal","-22.7871478192676","-44.3508166510465","locality","cnuc_ibge"
"172","Brazil","São Paulo","Bananal","RPPN CACHOEIRA DA LUISA","brazil_sao paulo_bananal_rppn cachoeira luisa","brazil_sao paulo_bananal_rppn cachoeira luisa","-22.8180445593449","-44.3459395262776","locality","cnuc_ibge"
"713","Brazil","São Paulo","Bananal","RPPN CACHOEIRA DA LUISA","brazil_sao paulo_bananal_reserva particular patrimonio natural cachoeira luisa","brazil_sao paulo_bananal_rppn cachoeira luisa","-22.8180445593449","-44.3459395262776","locality","cnuc_ibge"
"279","Brazil","São Paulo","Bananal","RPPN CANDEIA","brazil_sao paulo_bananal_rppn candeia","brazil_sao paulo_bananal_rppn candeia","-22.833620573025","-44.4180353018293","locality","cnuc_ibge"
"820","Brazil","São Paulo","Bananal","RPPN CANDEIA","brazil_sao paulo_bananal_reserva particular patrimonio natural candeia","brazil_sao paulo_bananal_rppn candeia","-22.833620573025","-44.4180353018293","locality","cnuc_ibge"
"212","Brazil","São Paulo","Bananal","RPPN CHACARA SANTA INEZ","brazil_sao paulo_bananal_rppn chacara santa inez","brazil_sao paulo_bananal_rppn chacara santa inez","-22.6964691466588","-44.3227622957272","locality","cnuc_ibge"
"753","Brazil","São Paulo","Bananal","RPPN CHACARA SANTA INEZ","brazil_sao paulo_bananal_reserva particular patrimonio natural chacara santa inez","brazil_sao paulo_bananal_rppn chacara santa inez","-22.6964691466588","-44.3227622957272","locality","cnuc_ibge"
"503","Brazil","São Paulo","Bananal","RPPN FRUTA DO LOBO","brazil_sao paulo_bananal_rppn fruta lobo","brazil_sao paulo_bananal_rppn fruta lobo","-22.7336711406869","-44.3668834723478","locality","cnuc_ibge"
"1044","Brazil","São Paulo","Bananal","RPPN FRUTA DO LOBO","brazil_sao paulo_bananal_reserva particular patrimonio natural fruta lobo","brazil_sao paulo_bananal_rppn fruta lobo","-22.7336711406869","-44.3668834723478","locality","cnuc_ibge"
"171","Brazil","São Paulo","Bananal","RPPN JAGUARETÊ","brazil_sao paulo_bananal_rppn jaguarete","brazil_sao paulo_bananal_rppn jaguarete","-22.8094948599271","-44.3460544769749","locality","cnuc_ibge"
"712","Brazil","São Paulo","Bananal","RPPN JAGUARETÊ","brazil_sao paulo_bananal_reserva particular patrimonio natural jaguarete","brazil_sao paulo_bananal_rppn jaguarete","-22.8094948599271","-44.3460544769749","locality","cnuc_ibge"
"173","Brazil","São Paulo","Bananal","RPPN OLHO D'ÁGUA","brazil_sao paulo_bananal_rppn olho agua","brazil_sao paulo_bananal_rppn olho agua","-22.8166627841154","-44.3623802254667","locality","cnuc_ibge"
"714","Brazil","São Paulo","Bananal","RPPN OLHO D'ÁGUA","brazil_sao paulo_bananal_reserva particular patrimonio natural olho agua","brazil_sao paulo_bananal_rppn olho agua","-22.8166627841154","-44.3623802254667","locality","cnuc_ibge"
"275","Brazil","São Paulo","Bananal","RPPN RIO VERMELHO","brazil_sao paulo_bananal_rppn rio vermelho","brazil_sao paulo_bananal_rppn rio vermelho","-22.8219759904912","-44.4192941880509","locality","cnuc_ibge"
"816","Brazil","São Paulo","Bananal","RPPN RIO VERMELHO","brazil_sao paulo_bananal_reserva particular patrimonio natural rio vermelho","brazil_sao paulo_bananal_rppn rio vermelho","-22.8219759904912","-44.4192941880509","locality","cnuc_ibge"
"372","Brazil","São Paulo","Barão de Antonina","APA CUESTA PARAPANEMA","brazil_sao paulo_barao antonina_apa cuesta parapanema","brazil_sao paulo_barao antonina_apa cuesta parapanema","-23.5536039639111","-49.5812698769048","locality","cnuc_ibge"
"913","Brazil","São Paulo","Barão de Antonina","APA CUESTA PARAPANEMA","brazil_sao paulo_barao antonina_area protecao ambiental cuesta parapanema","brazil_sao paulo_barao antonina_apa cuesta parapanema","-23.5536039639111","-49.5812698769048","locality","cnuc_ibge"
"351","Brazil","São Paulo","Barra Bonita","APA CUESTA CORUMBATAÍ","brazil_sao paulo_barra bonita_apa cuesta corumbatai","brazil_sao paulo_barra bonita_apa cuesta corumbatai","-22.5106150931531","-48.4761290170683","locality","cnuc_ibge"
"892","Brazil","São Paulo","Barra Bonita","APA CUESTA CORUMBATAÍ","brazil_sao paulo_barra bonita_area protecao ambiental cuesta corumbatai","brazil_sao paulo_barra bonita_apa cuesta corumbatai","-22.5106150931531","-48.4761290170683","locality","cnuc_ibge"
"425","Brazil","São Paulo","Barra do Turvo","APA PLANALTO DO TURVO","brazil_sao paulo_barra turvo_apa planalto turvo","brazil_sao paulo_barra turvo_apa planalto turvo","-24.9209144746403","-48.312518821222","locality","cnuc_ibge"
"966","Brazil","São Paulo","Barra do Turvo","APA PLANALTO DO TURVO","brazil_sao paulo_barra turvo_area protecao ambiental planalto turvo","brazil_sao paulo_barra turvo_apa planalto turvo","-24.9209144746403","-48.312518821222","locality","cnuc_ibge"
"427","Brazil","São Paulo","Barra do Turvo","APA QUILOMBOS DO MÉDIO RIBEIRA","brazil_sao paulo_barra turvo_apa quilombos medio ribeira","brazil_sao paulo_barra turvo_apa quilombos medio ribeira","-24.713195293119","-48.5144409606346","locality","cnuc_ibge"
"968","Brazil","São Paulo","Barra do Turvo","APA QUILOMBOS DO MÉDIO RIBEIRA","brazil_sao paulo_barra turvo_area protecao ambiental quilombos medio ribeira","brazil_sao paulo_barra turvo_apa quilombos medio ribeira","-24.713195293119","-48.5144409606346","locality","cnuc_ibge"
"442","Brazil","São Paulo","Barra do Turvo","APA RIO PARDINHO E RIO VERMELHO","brazil_sao paulo_barra turvo_apa rio pardinho e rio vermelho","brazil_sao paulo_barra turvo_apa rio pardinho e rio vermelho","-25.0215717819403","-48.5288209232747","locality","cnuc_ibge"
"983","Brazil","São Paulo","Barra do Turvo","APA RIO PARDINHO E RIO VERMELHO","brazil_sao paulo_barra turvo_area protecao ambiental rio pardinho e rio vermelho","brazil_sao paulo_barra turvo_apa rio pardinho e rio vermelho","-25.0215717819403","-48.5288209232747","locality","cnuc_ibge"
"74","Brazil","São Paulo","Barra do Turvo","PE CAVERNA DO DIABO","brazil_sao paulo_barra turvo_pe caverna diabo","brazil_sao paulo_barra turvo_pe caverna diabo","-24.7217113780707","-48.4355779602093","locality","cnuc_ibge"
"615","Brazil","São Paulo","Barra do Turvo","PE CAVERNA DO DIABO","brazil_sao paulo_barra turvo_parque estadual caverna diabo","brazil_sao paulo_barra turvo_pe caverna diabo","-24.7217113780707","-48.4355779602093","locality","cnuc_ibge"
