"loc","loc.correct","Freq","stateProvince","municipality","locality"
"brazil_sao paulo_parque estadual intervales","",568,"sao paulo","parque estadual intervales|parque estadual de intervales|iporanga|guapiara|eldorado|ribeirao branco|capao bonito|sao paulo|guapira","parque estadual intervales|parque estadual de intervales|parque estadual intervales, estrada da pedreira|trilha do araca branco|parque estadual intervales, estrada de sao pedro|parque estadual intervales, com inicio na estrada do carmo|parque estadual intervales, estrada municipal|parque estadual de intervales, estrada entre rio dos feixes e base do alecrim|parque estadual intervales, com trechos mais preservados sobre rochas carsticas|parque estadual intervales, estrada sao pedro|parque estadual intervales, inicio na estrada do carmo|parque estadual intervales, trrilha de acesso a estacao ecologica xiute|parque estadual intervales, estrada de sao paulo|parque estadual intervales, trilha da cacadinha com inicio na estrada do carmo|parque estadual intervales, porem com trechos mais preservados sobre rochas carsticas|parque estadual de intervales, estrada de sao pedro|parque estadual intervales, estrada para guapiara|parque estadual intervales, estrada de sao pedro a rio do carmo|parque estadual intervales, estrada de sao pedro para rio do carmo|parque estadual intervales, porem com trechos mais preservados sobre rochas carsricas|parque estadual de intervales, fazenda intervales|parque estadual intervales, estrada oposta a porteira do mirante|parque estadual intervales, estrada da porteira ao lado direito perto da bica d'agua|parque estadual intervales, tilha de acesso a estacao ecologica xitue|parque estadual intervales, trilha de acesso a estacao ecologica xituevegetacao secundaria de floresta ombrofila densa montana|parque estadual intervales, trilha de acesso a estacao ecologica xitue"
"brazil_sao paulo_parelheiros","",566,"sao paulo","parelheiros|sao paulo|capivari","|entrada em sentido a estrada de parelheiros|centro paulus|mata ao redor da represa billings|centro paulus estrada em sentido a estrada de parelheiros|cetro paulus|parelheiros|estrada de acesso ao centro paulus|estrada da vargem grande|estrada para cananeia|camping ana paula|sitio a esquerda na estrada eng|estrada engenheiro marsilac, sitio a esquerda na estrada engenheiro marsilac|fazenda sabesp, ao final da estrada do capivara|sitio a esquerda da estrada engº marsilac|sitio a esquerda na estrada engº marsilac|sitio a esquerda na estrada eng° marsilac|reserva estadual do curucutu|sitio a esquerda na estrada engenheiro marsilac|sentido eng°|sitio a esquerda na estrada para marsilac|sitio a esquerda na estrada engº, mata apos travessia do riacho|estrada da vargem grande nº 20|capivari fazenda da sabesp, ao final da estrada do capivara|sitio a esquerda na estrada eng° marsilac senrido eng° marsilac|sitio a esquerda na estrada eng°marsilac|sitio a esquerda na estrada eng marsilac|sitio a esquerda na estrada engo|estrada vargem ggrande n 20|sitio a esquerda da estrada eng marsilac|estacao evangelista de souza|estrada da vargem grande nº 433|sitio a esquerda na estrada eng° masilac|fazenda da sabesp, ao final da estrada do capivara|sitio a esquerda da estrada eng° marsilac|sitio a esquerda na estradaengo marsilac|camping ana paula trilha na mata|sitio a esquerda na estrada engenho marsilac|sitio a esquerda na estrada do engº marsilac|parelheiros am sudrand von sao paulo|sitio a equerda na estrada eng|fazenda da sabesp ao final da estrada do capivara|estrada da vargem grande, morro proximo ao ribeirao vermelho|fazenda a sabesp|fazenda sabesp ao|sitio a esquerda na estrada de marsilac|sitio a esquerda na estrada emg° marsilac|fazenda da sabesp, ao final da estrada do capivari|sitio a esquerda na estrada eng° marsilac sentido eng°marsilac|estrada da ponte seca|sitio a esquerda da estrada eng|sitio a esquerda na estrada engenheiro marsillac|sitio a esquerda da estrada engenheiro marsilac|fazenda sabesp ao final da estrada do capivara|sitio a estrada da vargem grande|estrada da vargem frabde|fazenda da sabesp ao final da estrada do capivari|estrada da vargem grande n°433|sirio a esquerda da estrada eng|sitio a esquerda da estrada engº|sitio a esquerda n estrada engenheiro marsilac|fazenda da sabesp|na estrada para engenheiro marsilac|na estrada eng|estrada massao|sitio a esquerda da estrada engenho marsilac|estrada do massao"
"brazil_sao paulo_parque estado_parque estado","",559,"sao paulo","parque de estado|parque do estado|parque estado","parque de estado|parque do estado|parque estado"
"brazil_sao paulo_ibiuna_bairro sorocabucu","",551,"sao paulo","ibiuna","bairro sorocabucu"
"brazil_sao paulo_rio claro_campus unesp bela vista","",513,"sao paulo","rio claro","campus unesp bela vista|campus unesp-bela vista|campus da unesp bela vista"
"brazil_sao paulo_avai_aldeia guarani","",506,"sao paulo","avai","aldeia guarani"
"brazil_sao paulo_brasil","",461,"sao paulo","brasil|guaratingueta|monteiro lobato|campos do jordao|cananeia|pariquera-acu|iguape|itirapina|sao pedro|sao carlos|botucatu|ibitinga|ibiuna|cajamar|jundiai|cubatao|ubatuba|sao paulo|capivari|joanopolis|pedreira|tapirai|miracatu|atibaia|assis|rio vermelho|barra do turvo|cunha|salesopolis|santo andre","fazenda boa vista|brasil|fazenda santa barbara|mata da fazenda recreio|mata da fazenda malabar|mata da fazenda espirito santo|mata da fazenda capoeira grande|mata da fazenda santa helena|fazenda folha larga|km 31 da rodovia sp-226, fazenda folha larga|estrada da bela vista|proximo a confluencia das estradas do gramado e da ponte alta|parque estadual serra mar nucleocurucutu, portaria de acesso ao parque|mata da fazenda santana do atalaia|parque estadual de jacupiranga|margem da estrada sp 50|parque estadual intervales|parque estadual carlos botelho|parque do estado|mata atlantica primara|parque estadual do joquery|estacao biologica de boraceia|proximo a margem do rio da fazenda|reserva florestal|fazenda esperanca|estrada monteiro lobato|horto florestal|parque estadual de campo do jordao|estrada antiga de campos do jordao a sto|estrada pariquera|estrada entre a balsa e a praia da ilha comprida|5 da rodovia sp-233|km31 da rodovia sp-226, fazenda folha larga|registro road|estrada para cananeia|estrada entre itirapina e sao carlos|serra de sao pedro|estrada municipal guilherme scatena, beira da estrada|estrada de grauna|estacao ecologica e experimental de itirapina|estrada da fazenda indiana ± 5km da cidade|fazenda santo antonio|parque estadual de jurupara, fazenda tucano|parque estadual de jurupara, estrada da fazenda tucano|estrada para pirapora|bairro paiol velho-estrada sta clara pirapora|estrada para serra do japi|estrada do aeroporto|parque ecologico municipal pereque|parque estadual serra mar rodovia rio-santos|parque estadual serra mar rodovia oswaldo cruz|parque estadual serra mar nucleo curucutu|fazenda da sabesp, ao final da estrada do capivara|estrada cachoeira dos pretos-sao francisco xavier|fazenda bela vista|proximos a estradas antigas|fazenda iterei|parque municipal da grota funda|estacao biologica de assis|estacao ecologica de chauas, no km 78 da rodovia pariquera-iguape|beira da rodovia regis bittencourt|parque estadual de jacupiranga-nucleo cedro|trilha e estrada da almada|estrada para pedra da macela|parque estadual da serra do mar- nucleo cunha|camping da praia da fazenda|km 13 da rodovia rio|parque natural municipal nascentes de paranapiacaba|estrada para bairro dos barreiros"
"brazil_sao paulo_eldorado_parque estadualjacupiranga","",450,"sao paulo","eldorado","parque estadualjacupiranga"
"brazil_sao paulo_serra paranapiacaba","",443,"sao paulo","serra do paranapiacaba|serra paranapiacaba|serra de paranapiacaba|serra da paranapiacaba|miracatu|sete barras|iporanga|sao miguel arcanjo|guapiara","serra do paranapiacaba, fazenda intervales sudl|serra do paranapiacaba, fazenda intervales sudlich capao bonito|serra paranapiacaba, fazenda intervales, along road to iporanga|serra de paranapiacaba, florestal carlos botelho reserve|serra paranapiacaba, fazenda intervales|serra de paranapiacaba, fazenda intervales sudlich capao boniti|serra paranapiacaba|serra de paranapiacaba|serra da paranapiacaba|serra de paranapiacaba, fazenda iterei|serra de paranapiacaba, fazenda iterei trilha do morro yolanda|serra paranapiacaba, parque estadual intervales|serra de paranapiacaba, fazenda iteri|serra de paranapiacaba, fazenda itareo|serra de paranapiacaba, fazenda itarei|serra de paranapiacaba, fazenda iterel|serra de paranapiacaba, reserva florestal carlos botelho"
"brazil_sao paulo_itirapina_estacao experimental itirapina","",440,"sao paulo","itirapina","estacao experimental de itirapina"
