"loc","loc.correct","Freq","stateProvince","municipality","locality"
"brazil_sao paulo_19 km sw of turnoff to juquitiba","",24,"sao paulo","19 km sw of turnoff to juquitiba|pedro de toledo","19 km sw of turnoff to juquitiba|waste land at edge of car park"
"brazil_sao paulo_analandia_arredores","",24,"sao paulo","analandia","arredores"
"brazil_sao paulo_analandia_serra cruzeiro","",24,"sao paulo","analandia","serra do cruzeiro"
"brazil_sao paulo_avai_mata ciliar","",24,"sao paulo","avai","mata ciliar"
"brazil_sao paulo_bofete_sitio tres pedras","",24,"sao paulo","bofete","sitio tres pedras"
"brazil_sao paulo_botucatu_fazenda 4 meninas","",24,"sao paulo","botucatu","fazenda 4 meninas"
"brazil_sao paulo_botucatu_jardim botanico","",24,"sao paulo","botucatu","jardim botanico"
"brazil_sao paulo_campinas_mata malabar ii","",24,"sao paulo","campinas","mata malabar ii"
"brazil_sao paulo_campos jordao_vila s","",24,"sao paulo","campos do jordao","vila s"
"brazil_sao paulo_cananeia_estrada captacao agua","",24,"sao paulo","cananeia","estrada de captacao de agua|estrada da captacao de agua|estrada da captacao d'agua"
"brazil_sao paulo_cananeia_estrada pariquera acu, 4km estrada terra","",24,"sao paulo","cananeia","estrada pariquera-acu, 4km estrada de terra|estrada pariquera-acu, 4km de estrada de terra|estrada pariquera acu, 4km estrada de terra"
"brazil_sao paulo_cananeia_oceanographic station","",24,"sao paulo","cananeia","oceanographic station"
"brazil_sao paulo_cananeia_waterfront in city of cananeia","",24,"sao paulo","cananeia","waterfront in city of cananeia"
"brazil_sao paulo_cerca 1 km portal alto serra em direcao a itirapina","",24,"sao paulo","sao pedro","na borda da estrada"
"brazil_sao paulo_circa 10 km due south of center of sao paulo","",24,"sao paulo","circa 10 km due south of center of sao paulo","parque do estado"
"brazil_sao paulo_cunha_cunha","",24,"sao paulo","cunha","cunha"
"brazil_sao paulo_eldorado_parque estadual intervales, trilha acesso a estacao ecologica xituevegetacao secundaria floresta ombrofila densa montana","",24,"sao paulo","eldorado","parque estadual intervales, trilha de acesso a estacao ecologica xituevegetacao secundaria de floresta ombrofila densa montana"
"brazil_sao paulo_estrada petrobras","",24,"sao paulo","caraguatatuba|salesopolis","estrada da petrobras, subida para o morro a esquerda da estrada|estrada da petrobras, arredores do parque da serra do mar|estrada da petrobras, subida para o morro esquerda da estrada|estrada petrobras, subida para a esquerda da estrada|estrada da petrobras, proximo ao topo do morro a esquerda da estrada"
"brazil_sao paulo_iguape_regiao cabeceira rio perupava","",24,"sao paulo","iguape","regiao da cabeceira do rio perupava|regiao cabeceira do rio perupava|regiao de cabeceira do rio perupava"
"brazil_sao paulo_iguape_restinga jureia","",24,"sao paulo","iguape","restinga da jureia"
"brazil_sao paulo_ilha alcatrazes","",24,"sao paulo","ilha de alcatrazes|ilha dos alcatrazes|ilha das alcatrazes","|ilha de alcatrazes|ilha dos alcatrazes|ilha das alcatrazes"
"brazil_sao paulo_iracemapolis_fazenda duas matas","",24,"sao paulo","iracemapolis","fazenda duas matas"
"brazil_sao paulo_itingucu","",24,"sao paulo","itingucu","itingucu"
"brazil_sao paulo_itingucu_itingucu","",24,"sao paulo","itingucu","itingucu"
"brazil_sao paulo_itirapina_along road to brotas","",24,"sao paulo","itirapina","along road to brotas"
"brazil_sao paulo_itirapina_cerrado fepasa","",24,"sao paulo","itirapina","cerrado da fepasa"
"brazil_sao paulo_joanopolis_estrada cachoeira pretos sao francisco xavier","",24,"sao paulo","joanopolis","estrada cachoeira dos pretos-sao francisco xavier|estrada cachoeira dos pretos sao francisco xavier|estrada cachoeira dos pretos- sao francisco xavier"
"brazil_sao paulo_jundiai_base estudo ecologia e educacao ambiental miguel castarde","",24,"sao paulo","jundiai","base de estudo de ecologia e educacao ambiental miguel castarde"
"brazil_sao paulo_juquitiba_estrada para o recanto maria tereza","",24,"sao paulo","juquitiba","estrada para o recanto maria tereza"
"brazil_sao paulo_miracatu_perto pedro barros","",24,"sao paulo","miracatu","perto de pedro barros|perto de pedro de barros"
"brazil_sao paulo_monte alegre sul_regiao montanhosa","",24,"sao paulo","monte alegre do sul","regiao montanhosa"
"brazil_sao paulo_municipio pedro toledo","",24,"sao paulo","pedro de toledo|next to itapecerica da serra|miracatu|pedro de toledo|next to itapecerice da serra 7 miracatu|pedro de toledo|next itapacerica da serra|miracatu|pedro de toledo|next to itapecerica da serra and miracatu|pedro de toledo","northern border"
"brazil_sao paulo_paranapiacaba_estacao biologica","",24,"sao paulo","paranapiacaba","estacao biologica"
"brazil_sao paulo_pariquera acu_estrada cananeia","",24,"sao paulo","pariquera-acu","estrada cananeia"
"brazil_sao paulo_rais serra","",24,"sao paulo","rais da serra","rais da serra"
"brazil_sao paulo_rais serra_rais serra","",24,"sao paulo","rais da serra","rais da serra"
"brazil_sao paulo_santo andre_estrada para taquarussu","",24,"sao paulo","santo andre","estrada para taquarussu"
"brazil_sao paulo_sao carlos_fazenda sao jose lobo","",24,"sao paulo","sao carlos","fazenda sao jose do lobo"
"brazil_sao paulo_sao jose campos_distrito sao francisco xavier caminho para cachoeira couves","",24,"sao paulo","sao jose dos campos","distrito de sao francisco xavier caminho para cachoeira das couves"
"brazil_sao paulo_sao miguel arcanjo_estrada sete barros para sao miguel arcanjo","",24,"sao paulo","sao miguel arcanjo","estrada de sete barros para sao miguel arcanjo"
"brazil_sao paulo_sao paulo_cohab juscelino","",24,"sao paulo","sao paulo","cohab juscelino"
"brazil_sao paulo_sao paulo_estrada mambu","",24,"sao paulo","sao paulo","estrada mambu|estrada do mambu"
"brazil_sao paulo_sao paulo_nucleo curucutu","",24,"sao paulo","sao paulo","nucleo curucutu"
"brazil_sao paulo_sao pedro_na borda estrada","",24,"sao paulo","sao pedro","na borda da estrada"
"brazil_sao paulo_sao sebastiao_parque estacao serra mar","",24,"sao paulo","sao sebastiao","parque estacao da serra do mar"
"brazil_sao paulo_torrinha_trilha dentro mata","",24,"sao paulo","torrinha","trilha dentro da mata"
"brazil_sao paulo_trilha corcovado","",24,"sao paulo","natividade da serra","parque estadual serra mar"
"brazil_sao paulo_ubatuba_nucleo pincinguaba","",24,"sao paulo","ubatuba","nucleo de pincinguaba|nucleo pincinguaba"
"brazil_sao paulo_ubatuba_parcela q7","",24,"sao paulo","ubatuba","parcela q7"
"brazil_sao paulo_vila paranapiacaba","",24,"sao paulo","santo andre","estrada para taquarussu"
"brazil_so paulo_brasil","",24,"so paulo","fazenda so domingos. acesso pelo km 237 da rodovia dos tropeiros (sp068). interior da mata do macaquinho. .|fazenda so domingos. acesso pelo km 237 da rodovia dos tropeiros (sp068). .|estrada da faz. boa vista.|estrada turvo, depois horto.|estrada de pariquera-au, acesso de terra, km 4.|reserva biolgica da ilha do cardoso.|itirapina, along the road to so carlos, 35km beforre so carlos.|parque ecolgico da a.p.a. do carmo.|fazenda so jos (borda da mata); .|parque estadual de jacupiranga, ncleo caverna do diabo. trilha vale das ostras, rio das ostras.|eldorado paulista, ncleo caverna do diabo - parque estadual de jacupiranga.|municpio de registro: 2 km east of village of sete barras. along new road towards jequi.|estrada sete barras - so miguel.|estrada de sete barras - so miguel.|parque estadual de jacupiranga, ncleo caverna do diabo. trilha do ara. .|parque intervales (corre. alerg.), estrada da bocaina, 500m ap o lago.|sul da reserva florestal - amgelim.|a 14 km de rio vermelho em direo a pariquera-a. beira da rodovia regis bittencourt.|estrada da casa da farinha.","fazenda so domingos, acesso pelo km 237 da rodovia dos tropeiros|estrada da fazenda boa vista|estrada turvo|estrada de pariquera-au|reserva biolgica da ilha do cardoso|along the road to so carlos|parque ecolgico da a|fazenda so jos|parque estadual de jacupiranga|along new road towards jequi|estrada sete barras|estrada de sete barras|parque intervales, estrada da bocaina|sul da reserva florestal|beira da rodovia regis bittencourt|estrada da casa da farinha"
"brazil_sao paulo_galia_estacao ecologica caetetus, estacao ecologica olavo amaral ferraz","brazil_sao paulo_galia_eec caetetus",24,"sao paulo","galia","estacao ecologica de caetetus, estacao ecologica olavo amaral ferraz"
"brazil_sao paulo_jundiai_reserva biologica municipal serra japi, trilha estrada tv cultura cidinho base","brazil_sao paulo_jundiai_reserva biologica municipal serra japi",24,"sao paulo","jundiai","reserva biologica municipal da serra do japi, trilha estrada tv cultura-cidinho-base"
"brazil_sao paulo_bertioga_coordenadas utm","",23,"sao paulo","bertioga","coordenadas utm"
"brazil_sao paulo_bofete_area brejo","",23,"sao paulo","bofete","area de brejo"
"brazil_sao paulo_brotas_nw of intersection of road to campo alegre with the brotas itirapina road","",23,"sao paulo","brotas","nw of intersection of road to campo alegre with the brotas-itirapina road"
"brazil_sao paulo_campinas_reserva cerrado laboratorio sincrotron","",23,"sao paulo","campinas","reserva de cerrado do laboratorio sincrotron"
"brazil_sao paulo_campos jordao_faz lagoinha","",23,"sao paulo","campos do jordao","faz lagoinha"
"brazil_sao paulo_campos jordao_off estrada fojo","",23,"sao paulo","campos do jordao","off estrada do fojo"
"brazil_sao paulo_campos jordao_parque estadualmananciais","",23,"sao paulo","campos do jordao","parque estadualmananciais"
"brazil_sao paulo_cananeia_praia maruja","",23,"sao paulo","cananeia","praia de maruja|praia do maruja|praia maruja"
"brazil_sao paulo_caraguatatuba_parque estacao serra mar","",23,"sao paulo","caraguatatuba","parque estacao da serra do mar"
"brazil_sao paulo_estrada pariquera acu p","",23,"sao paulo","estrada de pariquera acu p|estrada de pariquera-acu p|estrada pariquera acu p|estrada pariquera-acu p","estrada de pariquera acu p|estrada de pariquera-acu p|estrada pariquera acu p|estrada pariquera-acu p"
"brazil_sao paulo_estrada pariquera acu p_estrada pariquera acu p","",23,"sao paulo","estrada de pariquera acu p|estrada de pariquera-acu p|estrada pariquera acu p|estrada pariquera-acu p","estrada de pariquera acu p|estrada de pariquera-acu p|estrada pariquera acu p|estrada pariquera-acu p"
"brazil_sao paulo_estrada pariquera acu para cananeia","",23,"sao paulo","estrada pariquera-acu para cananeia|estrada pariquera-acu para cananeia.|cananeia","estrada pariquera-acu para cananeia||estrada pariquera-acu para cananeia, a 19 km de parquera-acu"
"brazil_sao paulo_fazenda barreiro rico_fazenda barreiro rico","",23,"sao paulo","fazenda barreiro rico","fazenda barreiro rico"
"brazil_sao paulo_iguape_beira estrada subauma","",23,"sao paulo","iguape","beira da estrada de subauma|beira da estrada subauma"
"brazil_sao paulo_itinga_sp 209","",23,"sao paulo","itinga","sp 209"
"brazil_sao paulo_itirapina_beira corrego feijao","",23,"sao paulo","itirapina","beira do corrego do feijao"
"brazil_sao paulo_itirapina_estrada municipal manoel nunes","",23,"sao paulo","itirapina","estrada municipal manoel nunes"
"brazil_sao paulo_itirapina_estrada para uba","",23,"sao paulo","itirapina","estrada para uba"
"brazil_sao paulo_itirapina_rodovia municipal domingos innocentini","",23,"sao paulo","itirapina","rodovia municipal domingos innocentini"
"brazil_sao paulo_itu_morro cavalo morto","",23,"sao paulo","itu","morro do cavalo morto"
"brazil_sao paulo_juquia_circa 10km juquia em direcao a tapirai","",23,"sao paulo","juquia","circa 10km de juquia em direcao a tapirai"
"brazil_sao paulo_monte alegre sul_fragmento a direita rodovia para pinhalzinho","",23,"sao paulo","monte alegre do sul","fragmento a direita da rodovia para pinhalzinho"
"brazil_sao paulo_parque estadual ilha cardoso_parque estadual ilha cardoso","",23,"sao paulo","parque estadual da ilha do cardoso|parque estadual ilha do cardoso","parque estadual da ilha do cardoso|parque estadual ilha do cardoso"
"brazil_sao paulo_planicie litoranea picinguaba","",23,"sao paulo","ubatuba","praia da fazenda"
"brazil_sao paulo_reserva florestal","",23,"sao paulo","reserva florestal|reserva de florestal|reserva do florestal|campos do jordao|cunha","reserva florestal|reserva de florestal|reserva do florestal|reserva florestal, fazenda da guarda|reserva florestal, beira da estrada cunha-parati"
"brazil_sao paulo_rio claro_arredores lixao","",23,"sao paulo","rio claro","arredores do lixao"
"brazil_sao paulo_salesopolis_estacao biologica","",23,"sao paulo","salesopolis","estacao biologica"
"brazil_sao paulo_salesopolis_estacao ecologica boraceia","",23,"sao paulo","salesopolis","estacao ecologica de boraceia"
"brazil_sao paulo_sao bento sapucai_bauzinho","",23,"sao paulo","sao bento do sapucai","bauzinho"
"brazil_sao paulo_sao jose barreiro_road from sao jose barreiro, to the entrance of parque nacional serra bocaina between km 24 and km 27","",23,"sao paulo","sao jose do barreiro","road from sao jose do barreiro, to the entrance of parque nacional serra da bocaina between km 24 and km 27"
"brazil_sao paulo_sao miguel arcanjo_reserva carlos botelho","",23,"sao paulo","sao miguel arcanjo","reserva carlos botelho"
"brazil_sao paulo_sao paulo_parque ciencia e tecnologia","",23,"sao paulo","sao paulo","parque da ciencia e tecnologia"
"brazil_sao paulo_sao paulo_sitio a estrada vargem grande","",23,"sao paulo","sao paulo","sitio a estrada da vargem grande|sitio a estrada vargem grande"
"brazil_sao paulo_sao pedro_estrada para itirapina","",23,"sao paulo","sao pedro","estrada para itirapina"
"brazil_sao paulo_sao pedro_pe serra","",23,"sao paulo","sao pedro","pe da serra"
"brazil_sao paulo_serra cuscuzeiro_serra cuscuzeiro","",23,"sao paulo","serra do cuscuzeiro","serra do cuscuzeiro"
"brazil_sao paulo_ubatuba_morro puruba","",23,"sao paulo","ubatuba","morro do puruba"
"brazil_sao paulo_ubatuba_parcela j32","",23,"sao paulo","ubatuba","parcela j32"
"brazil_sao paulo_ubatuba_pincinguaba","",23,"sao paulo","ubatuba","pincinguaba"
"brazil_sao paulo_ubatuba_puruba","",23,"sao paulo","ubatuba","puruba"
"brazil_so paulo_canania","",23,"so paulo","canania","city of cananeia|estrada entre a balsa a praia da ilha comprida|ilha do cardoso|parque estadual da ilha do cardoso|canania|sao paulo|km 18 da estrada pariquerau-canania|ilha comprida"
"brazil_so paulo_jundia","",23,"so paulo","jundia","na serra do japi|serra do japi|serra do jap|stio do senhor jos vallino|circa 10 km sw de jundia|descida do paraso iii|estrada para o paraso iii|nativo em mata na serra do japi|stio do mandao|parque municipal da serra do japi, trilha partindo do reservatrio de gua do dae"
"brazil_sao paulo_ribeirao grande_parque estadual intervales, com inicio na estrada sao pedro","brazil_sao paulo_ribeirao grande_parque estadual intervales",23,"sao paulo","ribeirao grande","parque estadual intervales, com inicio na estrada de sao pedro"
"brazil_NA_campos jordao","",22,"","campos do jordao|campos de jordao","estrada para sao jose dos alpes|campos do jordao|campos de jordao|caminho da cachoeira|parque da ferradura|reserva do instituto florestal|estrada de acesso para o pico do itapeva|serra de campos do jordao|5|serrea da mantiqueira|serra da mantiqueira"
"brazil_sao paulo_1 km n of the village","",22,"sao paulo","bertioga|1 km n of the","character(0)"
"brazil_sao paulo_10 km","",22,"sao paulo","10 km","parque do estado"
"brazil_sao paulo_a","",22,"sao paulo","a|mogi das cruzes","a|perto da estrada|materail coletado na borda da estrada|a da varzea do rio tiete solo umido a 300 m da estrada|material coletado na borda da estrada|a da varzea do rio tiete solo umido a 150m da estrada|a da varzea do rio tiete local ensolarado a beira da estrada|a da varzea do rio tiete solo umido a 200m da estrada|material coletado na beira da estrada|a da varzea do rio tiete aquatica a 400m da estrada|encontrava-se a 2m da estrada|a da varzea do rio tiete local umido estando aproximadamente a 100m da estrada|5 da estrada|a da varzea do rio tiete ao lado da estrada|cesar de so beira da estrada"
"brazil_sao paulo_aguas santa barbara_e","",22,"sao paulo","aguas de santa barbara","e"
"brazil_sao paulo_amparo_sitio aurora","",22,"sao paulo","amparo","sitio aurora"
"brazil_sao paulo_apa parque e fazenda carmo","",22,"sao paulo","sao paulo","apa parque e fazenda do carmo, parque ecologico da apa do carmo|apa parque e fazenda do carmo, parque ecologico"
"brazil_sao paulo_around herbarium","",22,"sao paulo","around herbarium","around herbarium"
"brazil_sao paulo_around herbarium_around herbarium","",22,"sao paulo","around herbarium","around herbarium"
"brazil_sao paulo_atibaia_6 km east along road from igreja sao joao batista at praca claudino alves in atibaia","",22,"sao paulo","atibaia","6 km east along road from igreja de sao joao batista at praca claudino alves in atibaia|6 km east along road from igreja da sao joao batista at praca claudino alves in atibaia"
"brazil_sao paulo_boraceia_reserva biologica universidade sao paulo","",22,"sao paulo","boraceia","reserva biologica da universidade de sao paulo"
"brazil_sao paulo_botucatu_area restauracao para compensacao ambiental do","",22,"sao paulo","botucatu","area de restauracao para compensacao ambiental do"
"brazil_sao paulo_botucatu_condominio verbena","",22,"sao paulo","botucatu","condominio verbena"
"brazil_sao paulo_botucatu_fazenda lageado","",22,"sao paulo","botucatu","fazenda lageado"
"brazil_sao paulo_cajati_rds lavras","",22,"sao paulo","cajati","rds lavras"
"brazil_sao paulo_campos jordao_fazenda gravata","",22,"sao paulo","campos do jordao","fazenda gravata"
"brazil_sao paulo_cananeia_ilha castilho","",22,"sao paulo","cananeia","ilha do castilho|ilha de castilho"
"brazil_sao paulo_capoeira","",22,"sao paulo","capoeira","capoeira"
"brazil_sao paulo_capoeira_capoeira","",22,"sao paulo","capoeira","capoeira"
"brazil_sao paulo_cunha_beira estrada ao longo rio paraibuna","",22,"sao paulo","cunha","beira da estrada ao longo do rio paraibuna|beira de estrada ao longo do rio paraibuna"
"brazil_sao paulo_guaruja_morro pinto","",22,"sao paulo","guaruja","morro do pinto"
"brazil_sao paulo_guarulhos_bairro pimentas","",22,"sao paulo","guarulhos","bairro das pimentas|bairro dos pimentas"
"brazil_sao paulo_guarulhos_pico pelado","",22,"sao paulo","guarulhos","pico pelado"
"brazil_sao paulo_ibiuna_sorocabos","",22,"sao paulo","ibiuna","sorocabos"
"brazil_sao paulo_ilha comprida_arredores vila pedrinhas","",22,"sao paulo","ilha comprida","arredores da vila de pedrinhas"
"brazil_sao paulo_ipeuna_ribeirao passa cinco","",22,"sao paulo","ipeuna","ribeirao passa cinco|ribeirao passa-cinco"
"brazil_sao paulo_iporanga_parque estadual turistico alto ribeiro","",22,"sao paulo","iporanga","parque estadual turistico alto do ribeiro|parque estadual turistico do alto ribeiro"
"brazil_sao paulo_itatinga_rodovia eduardo zuccari","",22,"sao paulo","itatinga","rodovia eduardo zuccari"
"brazil_sao paulo_itirapina_6 km ne of itirapina","",22,"sao paulo","itirapina","6 km ne of itirapina"
"brazil_sao paulo_itirapina_cerrado anibal","",22,"sao paulo","itirapina","cerrado anibal|cerrado do anibal"
"brazil_sao paulo_itirapina_reserva florestal","",22,"sao paulo","itirapina","reserva florestal"
"brazil_sao paulo_jaguariuna_cema","",22,"sao paulo","jaguariuna","cema"
"brazil_sao paulo_jardim eucaliptos_jardim eucaliptos","",22,"sao paulo","jardim dos eucaliptos","jardim dos eucaliptos"
"brazil_sao paulo_jundiai_circa 10km sw jundiai","",22,"sao paulo","jundiai","circa 10km sw de jundiai"
"brazil_sao paulo_jundiai_japi","",22,"sao paulo","jundiai","japi"
"brazil_sao paulo_litoral","",22,"sao paulo","litoral","litoral|fazenda aurea am rio branco|epiphytisch in sekundargebusch am rande der bananenplantagen der fazenda aurea am rio branco"
"brazil_sao paulo_mairinque_chacara localizada apos aproximadamente 3 km em estrada viscinal, partindo entrada no km 72 rodovia raposo tavares","",22,"sao paulo","mairinque","chacara localizada apos aproximadamente 3 km em estrada viscinal, partindo de entrada no km 72 da rodovia raposo tavares"
"brazil_sao paulo_mairipora_parque estadual cantareira regiao aguas claras","",22,"sao paulo","mairipora","parque estadual da cantareira regiao de aguas claras"
"brazil_sao paulo_ouro verde","",22,"sao paulo","monteiro lobato","estrada de panorama ao rio do peixe|estrada de panorama ao rio d"
"brazil_sao paulo_parcela permanente","",22,"sao paulo","sete barras|galia","parque estadual de carlos botelho parque estadual carlos botelho|parque estadual calos botelho|paerque estadual de carlos botelho|estacao ecologica de caetetus"
"brazil_sao paulo_pariquera acu_parque estadual campina encantado","",22,"sao paulo","pariquera-acu","parque estadual campina do encantado"
"brazil_sao paulo_praia baleia","",22,"sao paulo","praia da baleia|sao sebastiao","praia da baleia|borda de estrada"
"brazil_sao paulo_reserva instituto florestal_reserva instituto florestal","",22,"sao paulo","reserva do instituto florestal","reserva do instituto florestal"
"brazil_sao paulo_rio claro_campus bela vista","",22,"sao paulo","rio claro","campus bela vista"
"brazil_sao paulo_santo antonio pinhal_pico agudo","",22,"sao paulo","santo antonio do pinhal","pico do agudo|pico agudo"
"brazil_sao paulo_santo antonio pinhal_pousada champagny","",22,"sao paulo","santo antonio do pinhal","pousada champagny"
"brazil_sao paulo_sao bento sapucai_estrada campista em direcao a pedra bau","",22,"sao paulo","sao bento do sapucai","estrada da campista em direcao a pedra do bau"
"brazil_sao paulo_sao bento sapucai_estrada terra para campos jordao","",22,"sao paulo","sao bento do sapucai","estrada de terra para campos do jordao|estrada de terra para campos de jordao"
"brazil_sao paulo_sao bento sapucai_off the road to pedra bau","",22,"sao paulo","sao bento do sapucai","off the road to pedra do bau"
"brazil_sao paulo_sao bernardo campo_estrada velha santos","",22,"sao paulo","sao bernardo do campo","estrada velha de santos"
"brazil_sao paulo_sao paulo_jardim eucaliptos, estrada pedro tico","",22,"sao paulo","sao paulo","jardim dos eucaliptos, estrada pedro tico"
"brazil_sao paulo_sao pedro_thermas water park","",22,"sao paulo","sao pedro","thermas water park"
"brazil_sao paulo_sete barras_raizao","",22,"sao paulo","sete barras","raizao"
"brazil_sao paulo_tapirai_trilha dezembro entre uhe alecrim e uhe porto raso","",22,"sao paulo","tapirai","trilha dezembro entre uhe alecrim e uhe porto raso"
"brazil_sao paulo_tiete_estacao experimental","",22,"sao paulo","tiete","estacao experimental"
"brazil_sao paulo_ubatuba_parcela j56","",22,"sao paulo","ubatuba","parcela j56"
"brazil_sao paulo_ubatumirim","",22,"sao paulo","ubatumirim|ubatuba","parque estadual da serro do mar, trail along the rio da fazenda starting at casa de farinha|parque estadual da serro do mar, near the headwaters of rio da fazenda|parque estaudal da serra do mar nucleopicinguaba"
"brazil_sao paulo_cananeia_fazenda folha larga, km 31 rodovia sp 226","brazil_sao paulo_cananeia_fazenda folha larga",22,"sao paulo","cananeia","fazenda folha larga, km 31 da rodovia sp-226"
"brazil_sao paulo_ribeirao grande_parque estadual intervales, com inicio na estrada sao pedro, beira estrada","brazil_sao paulo_ribeirao grande_parque estadual intervales",22,"sao paulo","ribeirao grande","parque estadual intervales, com inicio na estrada de sao pedro, beira da estrada"
"brazil_sao paulo_sete barras_parque estadual carlos botelho, estrada estadual sao miguel arcanjo","brazil_sao paulo_sete barras_pe carlos botelho",22,"sao paulo","sete barras","parque estadual de carlos botelho, estrada estadual sao miguel arcanjo|parque estadual carlos botelho, estrada estadual sao miguel arcanjo"
"brazil_sao paulo_sete barras_parque estadual intervales, fazenda intervales","brazil_sao paulo_sete barras_pe intervales",22,"sao paulo","sete barras","parque estadual de intervales, fazenda intervales|parque estadual intervales, fazenda intervales"
"brazil_NA_NA_ubatuba","",21,"","ubatuba","ubatuba"
"brazil_sao paulo_amparo_sitio sao joao","",21,"sao paulo","amparo","sitio sao joao"
"brazil_sao paulo_caminho mar_caminho mar","",21,"sao paulo","caminho do mar","caminho do mar"
"brazil_sao paulo_campinas_mata santa helena","",21,"sao paulo","campinas","mata santa helena"
"brazil_sao paulo_campinas_reserva florestal santa genebra","",21,"sao paulo","campinas","reserva florestal de santa genebra|reserva florestal santa genebra"
"brazil_sao paulo_campinas_rio atibaia","",21,"sao paulo","campinas","rio atibaia"
"brazil_sao paulo_campos jordao_circa 3 km w engarrafadora minalva","",21,"sao paulo","campos do jordao","circa 3 km w da engarrafadora minalva"
"brazil_sao paulo_campos jordao_floresta arbustiva","",21,"sao paulo","campos do jordao","floresta arbustiva"
"brazil_sao paulo_campos jordao_pemcj","",21,"sao paulo","campos do jordao","pemcj"
"brazil_sao paulo_campos jordao_serra campos jordao","",21,"sao paulo","campos do jordao","serra de campos do jordao|serra da campos do jordao"
"brazil_sao paulo_cananeia_estrada pariquera acu para cananeia","",21,"sao paulo","cananeia","estrada pariquera-acu para cananeia|estrada pariquera acu para cananeia"
"brazil_sao paulo_cunha_estrada em direcao a trilha rio bonito, floresta a beira estrada","",21,"sao paulo","cunha","estrada em direcao a trilha do rio bonito, floresta a beira da estrada|estrada em direcao a trilha do rio bonito, floresta a beira de estrada"
"brazil_sao paulo_distrito rubiao junior","",21,"sao paulo","distrito de rubiao junior|distrito rubiao junior|botucatu","along the road botucatu-rubiao junior|distrito rubiao junior|e biologicas de botucatu|5 km sw da facultade de ciencias medicas e biologicas de botucatu|campus da unesp|campus de botucatu"
"brazil_sao paulo_flora reserva florestal boa vista","",21,"sao paulo","flora da reserva florestal da boa vista|sao jose dos campos","flora da reserva florestal da boa vista|flora da reserva florestal da boa vista, mata da reserva|flora da reserva florestal da boa vista, estrada turvo|flora da reserva florestal da boa vista, mata do horto|flora da reserva florestal da boa vista, estrada do turvo|flora da reserva florestal da boa vista, estrada turvo depois do horto"
"brazil_sao paulo_guaruja_mata encosta","",21,"sao paulo","guaruja","mata de encosta|mata da encosta"
"brazil_sao paulo_guaruja_praia pitangueiras","",21,"sao paulo","guaruja","praia das pitangueiras"
"brazil_sao paulo_iguape_calvario","",21,"sao paulo","iguape","calvario"
"brazil_sao paulo_ilha comprida_rio camapui","",21,"sao paulo","ilha comprida","rio camapui"
"brazil_sao paulo_ilha comprida, ao longo estrada principal e acessos laterais","",21,"sao paulo","ilha comprida, ao longo da estrada principal e acessos laterais",""
"brazil_sao paulo_ilha santo amaro","",21,"sao paulo","ilha santo amaro|ilha de santo amaro|guaruja","ilha santo amaro|ilha de santo amaro|nas ruinas da reserva biologica da ilha do cardoso"
"brazil_sao paulo_intervales","",21,"sao paulo","intervales|sao paulo","parque estadual intervales|intervales|fazenda intervales"
"brazil_sao paulo_itirapina_apa itirapina","",21,"sao paulo","itirapina","apa de itirapina|apa itirapina"
"brazil_sao paulo_itirapina_coordenada calculada","",21,"sao paulo","itirapina","coordenada calculada"
"brazil_sao paulo_itirapina_estacao experimental instituto flores","",21,"sao paulo","itirapina","estacao experimental do instituto flores"
"brazil_sao paulo_itirapina_fragmento ao lado rodovia sao pedro","",21,"sao paulo","itirapina","fragmento ao lado da rodovia sao pedro"
"brazil_sao paulo_itirapina_margem represa broa","",21,"sao paulo","itirapina","margem da represa do broa|margem da represa da broa"
"brazil_sao paulo_itirapina_mata pedregulho","",21,"sao paulo","itirapina","mata do pedregulho"
"brazil_sao paulo_jaguariuna_centro educacional municipal ambiental","",21,"sao paulo","jaguariuna","centro educacional municipal ambiental"
"brazil_sao paulo_paraibuna_parque estadual serra mar mata atlantica","",21,"sao paulo","paraibuna","parque estadual serra mar mata atlantica"
"brazil_sao paulo_parelheiros_sitio a esquerda na estrada eng° marsilac","",21,"sao paulo","parelheiros","sitio a esquerda na estrada eng° marsilac"
"brazil_sao paulo_pedra grande","",21,"sao paulo","pedra grande|atibaia","|pedra grande|ao lado da estrada de acesso ao topo da montanha e tambem no topo|fazenda grota fundo|brejo do lado direito da estrada de terra para pedra grande|parque municipal da grota funda|brejo localizado ao lado da estrada em direcao a pedra grande|beira da estrada|serra de itapetinga"
"brazil_sao paulo_peruibe_trilha fundao","",21,"sao paulo","peruibe","trilha do fundao"
"brazil_sao paulo_praia fazenda_praia fazenda","",21,"sao paulo","praia da fazenda","praia da fazenda"
"brazil_sao paulo_praia grande_area na beira rodovia pedro taques","",21,"sao paulo","praia grande","area na beira da rodovia pedro taques|area na beira de rodovia pedro taques"
"brazil_sao paulo_sao bento sapucai_cati","",21,"sao paulo","sao bento do sapucai","cati"
"brazil_sao paulo_sao bento sapucai_estrada para pedra bau","",21,"sao paulo","sao bento do sapucai","estrada para pedra do bau"
"brazil_sao paulo_sao luiz paraitinga_estacao ecologica santa virginia","",21,"sao paulo","sao luiz do paraitinga","estacao ecologica de santa virginia"
"brazil_sao paulo_sao paulo_distrito iguatemi","",21,"sao paulo","sao paulo","distrito iguatemi"
