"name","country","stateProvince","municipality","protectionCategory","UC_ID","source","type","slug"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA","Brazil","São Paulo","SANTA RITA DO PASSA QUATRO (SP)","Uso Sustentável","30","cnuc_2025_08.csv","ARIE","ARIE_BURITI_DE_VASSUNUNGA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CABEÇA DO CACHORRO","Brazil","Paraná","SÃO PEDRO DO IGUAÇU (PR)","Uso Sustentável","542","cnuc_2025_08.csv","ARIE","ARIE_CABECA_DO_CACHORRO"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CABECEIRA DO CÓRREGO MAHANA","Brazil","Goiás","ALTO PARAÍSO DE GOIÁS (GO)","Uso Sustentável","3.234","cnuc_2025_08.csv","ARIE","ARIE_CABECEIRA_DO_CORREGO_MAHANA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CACHOEIRA DO PIPIRIPAU","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","4.657","cnuc_2025_08.csv","ARIE","ARIE_CACHOEIRA_DO_PIPIRIPAU"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAMBEBA","Brazil","Ceará","FORTALEZA (CE)","Uso Sustentável","3.807","cnuc_2025_08.csv","ARIE","ARIE_CAMBEBA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPETINGA - TAQUARA","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","31","cnuc_2025_03.csv","ARIE","ARIE_CAPETINGA_-_TAQUARA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPETINGA/TAQUARA","Brazil","Distrito Federal","BRASÍLIA (DF)","Uso Sustentável","31","cnuc_2025_08.csv","ARIE","ARIE_CAPETINGA/TAQUARA"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPIVARAS","Brazil","Pernambuco","RECIFE (PE)","Uso Sustentável","4.274","cnuc_2025_08.csv","ARIE","ARIE_CAPIVARAS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE","Brazil","São Paulo","SANTA RITA DO PASSA QUATRO (SP)","Uso Sustentável","32","cnuc_2025_08.csv","ARIE","ARIE_CERRADO_PE-DE-GIGANTE"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CITRÓPOLIS","Brazil","Rio de Janeiro","JAPERI (RJ)","Uso Sustentável","3.471","cnuc_2025_08.csv","ARIE","ARIE_CITROPOLIS"
"ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CORREDOR ECOLÓGICO LAGOA ENCANTADA / SERRA DO CONDURU","Brazil","Bahia","ILHÉUS (BA)","Uso Sustentável","3.177","cnuc_2025_08.csv","ARIE","ARIE_CORREDOR_ECOLOGICO_LAGOA_ENCANTADA_/_SERRA_DO_CONDURU"
