TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,10830,10830,PA,Estação Ecológica Juami-Japurá,Estação Ecológica Juami-Japurá,Estação Ecológica,Ecological Station,National,Ia,Not Applicable,Terrestrial,0,0,8313.554906,8313.49713216707,Not Applicable,0,Designated,1983,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10842,10842,PA,Estação Ecológica Raso Da Catarina,Estação Ecológica Raso Da Catarina,Estação Ecológica,Ecological Station,National,Ia,Not Applicable,Terrestrial,0,0,1047.24981,1047.24030496251,Not Applicable,0,Designated,1984,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10843,10843,PA,Refugio De Vida Silvestre Ilha Dos Lobos,Refugio De Vida Silvestre Ilha Dos Lobos,Refúgio de Vida Silvestre,Wildlife Refuge,National,III,Not Applicable,Marine,1.395025248,1.39287532597411,1.423929,1.42387183180361,Not Reported,0,Designated,1983,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Polygon,10845,10845,PA,Estação Ecológica De Jutaí-Solimões,Estação Ecológica De Jutaí-Solimões,Estação Ecológica,Ecological Station,National,Ia,Not Applicable,Terrestrial,0,0,2895.141222,2895.12176883411,Not Applicable,0,Designated,1983,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10846,10846,PA,Estação Ecológica De Aiuaba,Estação Ecológica De Aiuaba,Estação Ecológica,Ecological Station,National,Ia,Not Applicable,Terrestrial,0,0,117.470462,113.352591466139,Not Applicable,0,Designated,2001,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Chico Mendes De Conservação Da Biodiversidade,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,12203,12203,PA,Iguaçu National Park,Parc national d'Iguaçu,World Heritage Site (natural or mixed),World Heritage Site (natural or mixed),International,Not Applicable,"(vii);(x)",Terrestrial,0,0,1696.9588,1696.94688607332,Not Applicable,0,Inscribed,1986,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,946,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,15944,15944,PA,Área De Proteção Ambiental Estadual Mestre Álvaro,Área De Proteção Ambiental Estadual Mestre Álvaro,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,Terrestrial,0,0,23.932107,23.9318839362352,Not Applicable,0,Designated,2018,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Secretaria Municipal De Meio Ambiente Do Município De Serra - Es,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,15945,15945,PA,Parque Estadual Do Forno Grande,Parque Estadual Do Forno Grande,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,9.128088,9.12800151657534,Not Applicable,0,Designated,2013,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Estadual De Meio Ambiente E Recursos Hídricos Do Espírito Santo - Es,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,15961,15961,PA,Parque Estadual Do Itacolomi,Parque Estadual Do Itacolomi,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,59.964455,59.9639441212615,Not Applicable,0,Designated,1967,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Estadual De Florestas De Minas Gerais - Mg,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,15980,15980,PA,Parati-Mirim,Parati-Mirim,Terra Indígena,Indigenous Area,National,Not Reported,Not Applicable,Coastal,0,34.9032751175811,0,95.8921996767353,Not Reported,0,Proposed,2008,Indigenous Peoples,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,905,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,15981,15981,PA,Reserva Biológica De Araras,Reserva Biológica De Araras,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,38.379015,38.37865238167,Not Applicable,0,Designated,1977,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Estadual Do Ambiente Do Rio De Janeiro - Rj,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,15987,15987,PA,Parque Estadual Do Desengano,Parque Estadual Do Desengano,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,214.04421,213.25738844495,Not Applicable,0,Designated,1970,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Estadual Do Ambiente Do Rio De Janeiro - Rj,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16066,16066,PA,Parque Estadual De Ibicatu,Parque Estadual De Ibicatu,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,3.042418,3.04237084508704,Not Applicable,0,Designated,1982,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Ambiental Do Paraná - Pr,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16068,16068,PA,Parque Estadual Do Rio Da Onça,Parque Estadual Do Rio Da Onça,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,1.306735,1.30670840745074,Not Applicable,0,Designated,2012,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Ambiental Do Paraná - Pr,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16069,16069,PA,Parque Estadual De Campinhos,Parque Estadual De Campinhos,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,5.667555,5.66750241105742,Not Applicable,0,Designated,1960,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Ambiental Do Paraná - Pr,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16074,16074,PA,Parque Estadual Do Caxambu,Parque Estadual Do Caxambu,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,11.081953,11.0817297946796,Not Applicable,0,Designated,1979,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Ambiental Do Paraná - Pr,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16078,16078,PA,Parque Estadual Da Serra Furada,Parque Estadual Da Serra Furada,Parque,Park,National,II,Not Applicable,Terrestrial,0,0,13.303758,13.303589719125,Not Applicable,0,Designated,1980,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Do Meio Ambiente Do Estado De Santa Catarina - Sc,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16081,16081,PA,Parque Estadual Da Serra Do Tabuleiro,Parque Estadual Da Serra Do Tabuleiro,Parque,Park,National,II,Not Applicable,Terrestrial,0.8678419397,1.05440818769839,839.087414,839.081636313505,Not Applicable,0,Designated,2009,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Instituto Do Meio Ambiente Do Estado De Santa Catarina - Sc,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16083,16083,PA,Reserva Biológica Do Ibirapuitã,Reserva Biológica Do Ibirapuitã,Reserva Biológica,Biological Reserve,National,Ia,Not Applicable,Terrestrial,0,0,3.516044,3.51597936999442,Not Applicable,0,Designated,1976,Sub-national ministry or agency,Not Applicable,Not Reported,Not Applicable,Secretaria Do Ambiente E Desenvolvimento Sustentável Do Rio Grande Do Sul - Rs,Not Reported,State Verified,1802,BRA,BRA,Not Applicable,Not Applicable,Not Reported,Not Applicable
