Nome da Unidade de Conservação conforme o Ato legal,Grupo (SNUC),Gerência Regional do ICMBio,Código CNUC (MMA),Atos legais (Criação ou redefinição),UF de Abrangência,Bioma* (IBGE 1:250mil),Bioma para fins de Compensação de Reserva Legal,Área (em hectares)**
RESERVA EXTRATIVISTA LAGO DO CEDRO,Uso Sustentável,GR3,0000.00.0287,"DEC S/N,de 11/09/2006",GO,CERRADO,CERRADO,17178.050662
RESERVA EXTRATIVISTA MÃE GRANDE DE CURUÇÁ,Uso Sustentável,GR1,0000.00.0243,"DEC S/N, de 13/12/2002",PA,AMAZÔNIA,AMAZÔNIA,36678.7809665
RESERVA EXTRATIVISTA MAPUÁ,Uso Sustentável,GR1,0000.00.0244,"DEC S/N, de 20/05/2005",PA,AMAZÔNIA,AMAZÔNIA,93747.6607366
RESERVA EXTRATIVISTA MARACANÃ,Uso Sustentável,GR1,0000.00.0227,"DEC S/N, de 13/12/2002",PA,AMAZÔNIA,AMAZÔNIA,30179.6451932
RESERVA EXTRATIVISTA MARINHA CUINARANA,Uso Sustentável,GR1,0000.00.3134,"DEC S/N, de 10/10/2014",PA,AMAZÔNIA,AMAZÔNIA,11036.4109337
RESERVA EXTRATIVISTA MARINHA DA BAIA DO IGUAPE,Uso Sustentável,GR2,0000.00.0245,"DEC S/N, de 11/08/2000; LEI 12.058, de 13/10/2009",BA,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,10082.5909932
RESERVA EXTRATIVISTA MARINHA DA LAGOA DO JEQUIÁ,Uso Sustentável,GR2,0000.00.0246,"DEC S/N, de 27/09/2001",AL,MATA ATLÂNTICA,MATA ATLÂNTICA,10183.420342
RESERVA EXTRATIVISTA MARINHA DE ARAÍ-PEROBA,Uso Sustentável,GR1,0000.00.0247,"DEC S/N, de 20/05/2005; DEC S/N, de 10/10/2014",PA,AMAZÔNIA,AMAZÔNIA e SISTEMA COSTEIRO-MARINHO,62578.1155665
RESERVA EXTRATIVISTA MARINHA DE CAETÉ-TAPERAÇU,Uso Sustentável,GR1,0000.00.0248,"DEC S/N, de 20/05/2005",PA,AMAZÔNIA,AMAZÔNIA,42456.4019519
RESERVA EXTRATIVISTA MARINHA DE GURUPI-PIRIÁ,Uso Sustentável,GR1,0000.00.0249,"DEC S/N, de 20/05/2005",PA,AMAZÔNIA,AMAZÔNIA,72789.9284198
RESERVA EXTRATIVISTA MARINHA DE SOURE,Uso Sustentável,GR1,0000.00.0254,DEC de 22/11/2001,PA,AMAZÔNIA,AMAZÔNIA,29578.7958681
RESERVA EXTRATIVISTA MARINHA DE TRACUATEUA,Uso Sustentável,GR1,0000.00.0250,"DEC S/N, de 20/05/2005",PA,AMAZÔNIA,AMAZÔNIA,27864.5015639
RESERVA EXTRATIVISTA MARINHA DO ARRAIAL DO CABO,Uso Sustentável,GR4,0000.00.0251,"DEC S/N, de 03/01/1997",RJ,MATA ATLÂNTICA,MATA ATLÂNTICA,51849.1960014
RESERVA EXTRATIVISTA MARINHA DO CORUMBAU,Uso Sustentável,GR2,0000.00.0252,"DEC S/N, de 21/09/2000",BA,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,89996.7624471
RESERVA EXTRATIVISTA MARINHA DO DELTA DO PARNAÍBA,Uso Sustentável,GR2,0000.00.0225,"DEC S/N, de 16/11/2000",MA/PI,CERRADO,CERRADO e SISTEMA COSTEIRO-MARINHO,27022.0734188
RESERVA EXTRATIVISTA MARINHA DO PIRAJUBAÉ,Uso Sustentável,GR5,0000.00.0255,"DEC 533, de 20/05/1992",SC,MATA ATLÂNTICA,MATA ATLÂNTICA e SISTEMA COSTEIRO-MARINHO,1686.86614251
RESERVA EXTRATIVISTA MARINHA MESTRE LUCINDO,Uso Sustentável,GR1,0000.00.3133,"DEC S/N, de 10/10/2014",PA,AMAZÔNIA,AMAZÔNIA e SISTEMA COSTEIRO-MARINHO,26464.8785437
RESERVA EXTRATIVISTA MARINHA MOCAPAJUBA,Uso Sustentável,GR1,0000.00.3132,"DEC S/N, de 10/10/2014",PA,AMAZÔNIA,AMAZÔNIA,21027.7966867
RESERVA EXTRATIVISTA MATA GRANDE,Uso Sustentável,GR2,0000.00.0226,"DEC 532, de 20/05/1992",MA,CERRADO,AMAZÔNIA Port 96 MMA,11431.6616435
RESERVA EXTRATIVISTA PRAINHA DO CANTO VERDE,Uso Sustentável,GR2,0000.00.1809,"DEC S/N, de 05/06/2009",CE,SISTEMA COSTEIRO-MARINHO,SISTEMA COSTEIRO-MARINHO,29805.4819365
RESERVA EXTRATIVISTA RENASCER,Uso Sustentável,GR1,0000.00.1810,"DEC S/N, de 05/06/2009",PA,AMAZÔNIA,AMAZÔNIA,209667.373723
RESERVA EXTRATIVISTA RIO IRIRI,Uso Sustentável,GR1,0000.00.0280,"DEC S/N, de 05/06/2006",PA,AMAZÔNIA,AMAZÔNIA,398997.612194
RESERVA EXTRATIVISTA RIO UNINI,Uso Sustentável,GR1,0000.00.0283,"DEC S/N, de 21/06/2006",AM,AMAZÔNIA,AMAZÔNIA,849693.349782
RESERVA EXTRATIVISTA RIO XINGU,Uso Sustentável,GR1,0000.00.1635,"DEC S/N, de 05/06/2008",PA,AMAZÔNIA,AMAZÔNIA,303004.703452
RESERVA EXTRATIVISTA RIOZINHO DA LIBERDADE,Uso Sustentável,GR1,0000.00.0257,"DEC S/N, de 17/02/2005",AC/AM,AMAZÔNIA,AMAZÔNIA,324905.932355
RESERVA EXTRATIVISTA RIOZINHO DO ANFRÍSIO,Uso Sustentável,GR1,0000.00.0258,"DEC S/N, de 08/11/2004",PA,AMAZÔNIA,AMAZÔNIA,737088.86793
RESERVA EXTRATIVISTA TAPAJÓS-ARAPIUNS,Uso Sustentável,GR1,0000.00.0259,"DEC S/N, de 06/11/1998",PA,AMAZÔNIA,AMAZÔNIA,677521.473574
RESERVA EXTRATIVISTA TERRA GRANDE-PRACUÚBA,Uso Sustentável,GR1,0000.00.0282,"DEC S/N, de 05/06/2006",PA,AMAZÔNIA,AMAZÔNIA,194870.377437
RESERVA EXTRATIVISTA VERDE PARA SEMPRE,Uso Sustentável,GR1,0000.00.0260,"DEC S/N, de 08/11/2004",PA,AMAZÔNIA,AMAZÔNIA,1289379.74235
RESERVA EXTRATIVISTA VIRIANDEUA,Uso Sustentável,GR1,0000.00.4780,DEC 11.958 de 21/03/2024,PA,AMAZÔNIA,AMAZÔNIA,34169.2616
