"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifcname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:EVB:3403"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB003403"|"3517"|"Cordeiro, J."|"2010-3-6"|"2010"|"3"|"6"|"Frutos imaturos"|""|"Brasil"|"São Paulo"|"São José do Barreiro"|"Serra da Boacaina."|"1640"|""|""|""|""|""|"Morales, M."|"7/3/2010"|""|""|""|"Mimosa bocainae Barneby"|"FABACEAE"|"Mimosa"|"bocainae"|""|"specie"|"Barneby"|"Angiospermas"|""|"Plantae"|""|"EVB 3403"
"Collection"|"Creative Commons"|"urn:catalog:EVB:3489"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB003489"|"s.n."|"da Costa, N.S.D."|"2013-3-19"|"2013"|"3"|"19"|"Flores com cálice verde e corola amarela."|""|"Brasil"|"São Paulo"|"Assis"|"Rodovia Raposo Tavares. saída de Assis para Ourinhos."|""|""|""|""|""|""|"Caxambu, M.G."|"30/4/2013"|""|""|""|"Senna rugosa (G.Don) H.S.Irwin & Barneby"|"FABACEAE"|"Senna"|"rugosa"|""|"specie"|"(G.Don) H.S.Irwin & Barneby"|"Angiospermas"|""|"Plantae"|""|"EVB 3489"
"Collection"|"Creative Commons"|"urn:catalog:RB:761828"|"RB"|"2017-10-14"|"RB"|"RB"|"RB00761828"|"454"|"L.B. Santos"|"2009-11-16"|"2009"|"11"|"16"|"Herbácea, em área aberta folhas membranáceas, pilosas, cálice verde, corola amarela com listras vermelhas"|""|"Brasil"|"São Paulo"|"Botucatu"|"Parque ecológio da Pavuna, da sede até a trilha da esquerda na entrada das cachoeiras, depois até bifurcação final à direita e a esquerda."|"750"|""|""|""|"-22.8375000"|"-46.5111111"|"L.B. dos Santos"|"3/2009"|""|""|""|"Crotalaria stipularia Desv."|"LEGUMINOSAE"|"Crotalaria"|"stipularia"|""|"specie"|"Desv."|"Angiospermas"|""|"Plantae"|""|"RB 568914"
"Collection"|"Creative Commons"|"urn:catalog:RB:164862"|"RB"|"2017-10-10"|"RB"|"RB"|"RB00164862"|"166"|"A. Löfgren"|"1908-12-21"|"1908"|"12"|"21"|"Arbusto regular, simples, hirto, fl. róseas. Comum."|""|"Brasil"|"São Paulo"|"São José dos Campos"|""|""|""|""|""|""|""|""|""|""|""|""|"Mimosa subsericea Benth."|"LEGUMINOSAE"|"Mimosa"|"subsericea"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"RB 4211"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4613"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004613"|"91"|"Santos, E.F."|"2018-2-27"|"2018"|"2"|"27"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2020"|""|""|""|"Cenostigma pluviosum (DC.) Gagnon & G.P.Lewis"|"FABACEAE"|"Cenostigma"|"pluviosum"|""|"specie"|"(DC.) Gagnon & G.P.Lewis"|"Angiospermas"|""|"Plantae"|""|"EVB 4613"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4614"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004614"|"163"|"Santos, E.F."|"2018-9-20"|"2018"|"9"|"20"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Inga sessilis (Vell.) Mart."|"FABACEAE"|"Inga"|"sessilis"|""|"specie"|"(Vell.) Mart."|"Angiospermas"|""|"Plantae"|""|"EVB 4614"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4615"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004615"|"117"|"Santos, E.F."|"2018-4-5"|"2018"|"4"|"5"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Senna occidentalis (L.) Link"|"FABACEAE"|"Senna"|"occidentalis"|""|"specie"|"(L.) Link"|"Angiospermas"|""|"Plantae"|""|"EVB 4615"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4616"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004616"|"78"|"Santos, E.F."|"2018-2-27"|"2018"|"2"|"27"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Indigofera hirsuta L."|"FABACEAE"|"Indigofera"|"hirsuta"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"EVB 4616"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4617"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004617"|"167"|"Santos, E.F."|"2018-10-30"|"2018"|"10"|"30"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Hymenaea courbaril L."|"FABACEAE"|"Hymenaea"|"courbaril"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"EVB 4617"
"Collection"|"Creative Commons"|"urn:catalog:EVB:4618"|"EVB"|"2021-07-30"|"EVB"|"EVB"|"EVB004618"|"77"|"Santos, E.F."|"2018-2-27"|"2018"|"2"|"27"|""|""|"Brasil"|"São Paulo"|"Holambra"|"Estação Experimental da Syngenta."|""|""|""|""|"-22.6472222"|"-47.0811111"|"Lombardi, J.A."|"20/12/2018"|""|""|""|"Desmodium tortuosum (Sw.) DC."|"FABACEAE"|"Desmodium"|"tortuosum"|""|"specie"|"(Sw.) DC."|"Angiospermas"|""|"Plantae"|""|"EVB 4618"
"Collection"|"Creative Commons"|"urn:catalog:RB:117799"|"RB"|"2014-07-22"|"RB"|"RB"|"RB00117799"|"4000"|"H.C. de Lima"|"1990-10-10"|"1990"|"10"|"10"|""|""|"Brasil"|"São Paulo"|"Ubatuba"|"Picinguaba. Parque Estadual da Serra do Mar. Mata de baixada periodicamente inundada e mata de transição com restinga."|""|""|""|""|""|""|""|""|""|""|""|"Ormosia arborea (Vell.) Harms"|"LEGUMINOSAE"|"Ormosia"|"arborea"|""|"specie"|"(Vell.) Harms"|"Angiospermas"|""|"Plantae"|""|"RB 289450"
"Collection"|"Creative Commons"|"urn:catalog:RB:828178"|"RB"|"2014-07-08"|"RB"|"RB"|"RB00828178"|"186"|"E. Kumpf"|"1989-12-12"|"1989"|"12"|"12"|"Árvore de 10 m de altura, flores amarelas vistosas"|""|"Brasil"|"São Paulo"|"Piracicaba"|"Parque da ESALQ/USP."|""|""|""|""|""|""|"E. Kumpf"|"2/5/1990"|""|""|""|"Delonix regia (Bojer ex Hook.) Raf."|"LEGUMINOSAE"|"Delonix"|"regia"|""|"specie"|"(Bojer ex Hook.) Raf."|"Angiospermas"|""|"Plantae"|""|"RB 590789"
"Collection"|"Creative Commons"|"urn:catalog:RB:173792"|"RB"|"2014-09-12"|"RB"|"RB"|"RB00173792"|"312"|"P.S.P.Sampaio "|"1999-8-12"|"1999"|"8"|"12"|"Trepadeira. Flores vináceas. Folhas jovens. Flores muito aromáticas. Beira da trilha ."|""|"Brasil"|"São Paulo"|"Bertioga"|"São Lourenço, rod. SP-55, Km 211,5 . Fazenda da Família Pinto."|""|""|""|""|""|""|"H.C.de Lima"|"9/2014"|""|""|""|"Dalbergia lateriflora Benth."|"LEGUMINOSAE"|"Dalbergia"|"lateriflora"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"RB 354148"
"Collection"|"Creative Commons"|"urn:catalog:RB:1555557"|"RB"|"2024-08-01"|"RB"|"RB"|"RB01555557"|"s.n"|"E. Kahowec"|"1980-3-2"|"1980"|"3"|"2"|"GUA: 20299  Árvore, flores róseas em cachos."|""|"Brasil"|"São Paulo"|""|"Ilha de São Sebastião, Ilha Bela."|""|""|""|""|""|""|"H.C. de Lima & A. Calvet"|"3/2008"|""|""|""|"Cassia javanica L."|"LEGUMINOSAE"|"Cassia"|"javanica"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"RB 870926"
"Collection"|"Creative Commons"|"urn:catalog:RB:176149"|"RB"|"2020-05-21"|"RB"|"RB"|"RB00176149"|""|"Jacintha S Lima"|"1950-1-31"|"1950"|"1"|"31"|""|""|"Brasil"|"São Paulo"|"Itapetininga"|""|""|""|""|""|""|""|"E.CANDIDO &W.VARGAS"|"25/8/2017"|""|""|""|"Eriosema heterophyllum Benth."|"LEGUMINOSAE"|"Eriosema"|"heterophyllum"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"RB 69471"
"Collection"|"Creative Commons"|"urn:catalog:RON:7993"|"RON"|"2020-02-07"|"RON"|"RON"|"RON00007993"|"321"|"Soares-Silva, LH"|"1993-8-1"|"1993"|"8"|"1"|"Subarbusto, 0.80m de altura, frutos amarelos, frutos imaturos verdes, maduros ecuros, de cerrado."|""|"Brasil"|"São Paulo"|"Itarapé"|"Estrada do campo de aviação."|""|"0"|""|""|""|""|"Tamashiro, J.Y."|"1999"|""|""|""|"Chamaecrista cathartica (Mart.) H.S.Irwin & Barneby"|"FABACEAE"|"Chamaecrista"|"cathartica"|""|"specie"|"(Mart.) H.S.Irwin & Barneby"|"Angiospermas"|""|"Plantae"|""|"RON 7993"
"Collection"|"Creative Commons"|"urn:catalog:RB:1588426"|"RB"|"2025-08-19"|"RB"|"RB"|"RB01588426"|""|"G. Hashimoto"|"1985-1-30"|"1985"|"1"|"30"|"Planta de cerrado com flores amarelas"|""|"Brasil"|"São Paulo"|"Águas de Santa Bárbara"|""|""|""|""|""|""|""|"G. Hashimoto"|"1985"|""|""|""|"Crotalaria stipularia Desv."|"LEGUMINOSAE"|"Crotalaria"|"stipularia"|""|"specie"|"Desv."|"Angiospermas"|""|"Plantae"|""|"RB 888295"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:37284"|"UPCB"|"2022-05-09"|"UPCB"|"UPCB"|"UPCB0037284"|"2304"|"Meyer, F.S."|"2017-11-20"|"2017"|"11"|"20"|"Liana reptante, herbácea, com flores amarelas. Na margem da ferrovia, sob outras espécies herbáceas (Floresta estacional Semidecidual em regeneração)."|""|"Brasil"|"São Paulo"|"Catiguá"|"Margem da ferrovia."|""|""|""|""|""|""|"Snak, C."|"12/2017"|""|""|""|"Rhynchosia minima (L.) DC."|"FABACEAE"|"Rhynchosia"|"minima"|""|"specie"|"(L.) DC."|"Angiospermas"|""|"Plantae"|""|"UPCB 92276"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:37288"|"UPCB"|"2024-02-28"|"UPCB"|"UPCB"|"UPCB0037288"|"2249"|"Meyer, F.S."|"2017-11-11"|"2017"|"11"|"11"|"Arvoreta em cerrado, ca. 4m alt. Folhas pêndulas, flores com pétalas brancas. ""Amargoso"". Cerrado."|""|"Brasil"|"São Paulo"|"Itirapina"|"Margem da ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"12/2017"|""|""|""|"Leptolobium elegans Vogel"|"FABACEAE"|"Leptolobium"|"elegans"|""|"specie"|"Vogel"|"Angiospermas"|""|"Plantae"|""|"UPCB 92214"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:37290"|"UPCB"|"2022-05-09"|"UPCB"|"UPCB"|"UPCB0037290"|"2251"|"Meyer, F.S."|"2017-11-11"|"2017"|"11"|"11"|"Arvoreta ca. 4m alt. Botões florais brancos. Em Cerrado."|""|"Brasil"|"São Paulo"|"Itirapina"|"Margem da ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"12/2017"|""|""|""|"Machaerium acutifolium Vogel"|"FABACEAE"|"Machaerium"|"acutifolium"|""|"specie"|"Vogel"|"Angiospermas"|""|"Plantae"|""|"UPCB 92274"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:37292"|"UPCB"|"2024-03-18"|"UPCB"|"UPCB"|"UPCB0037292"|"2291"|"Meyer, F.S."|"2017-11-20"|"2017"|"11"|"20"|"Arvoreta ca. 5m alt. Frutos verdes. Frequente, em local aberto de Floresta Estacional Semidecidual em regeneração."|""|"Brasil"|"São Paulo"|"Catiguá"|"Margem da ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"11/2017"|""|""|""|"Platypodium elegans Vogel"|"FABACEAE"|"Platypodium"|"elegans"|""|"specie"|"Vogel"|"Angiospermas"|""|"Plantae"|""|"UPCB 92218"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:37300"|"UPCB"|"2022-05-09"|"UPCB"|"UPCB"|"UPCB0037300"|"2293"|"Meyer, F.S."|"2017-11-20"|"2017"|"11"|"20"|"Arvore ca. 8m alt., frequente. Fruto marrom. ""Angico"". Em orla de Floresta Estacional Semidecidual em regeneração."|""|"Brasil"|"São Paulo"|"Catiguá"|"Margem da ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"11/2017"|""|""|""|"Anadenanthera colubrina var. cebil (Griseb.) Altschul"|"FABACEAE"|"Anadenanthera"|"colubrina"|"cebil"|"var."|"(Vell.) Brenan"|"Angiospermas"|""|"Plantae"|""|"UPCB 92245"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:37304"|"UPCB"|"2024-03-18"|"UPCB"|"UPCB"|"UPCB0037304"|"2282"|"Meyer, F.S."|"2017-11-18"|"2017"|"11"|"18"|"Árvore ca. 6m altura. Flores com pétalas amarelas. Frequente na margem da ferrovia (em Floresta Estacional Semidecidual em regeneração)."|""|"Brasil"|"São Paulo"|"Pindorama"|"Margem da ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"12/2017"|""|""|""|"Platypodium elegans Vogel"|"FABACEAE"|"Platypodium"|"elegans"|""|"specie"|"Vogel"|"Angiospermas"|""|"Plantae"|""|"UPCB 92281"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:38265"|"UPCB"|"2024-01-23"|"UPCB"|"UPCB"|"UPCB0038265"|"2256"|"Meyer, F.S."|"2017-11-12"|"2017"|"11"|"12"|"Subarbusto em campo-cerrado. Flores com pétalas amarelas. Em campo-cerrado."|""|"Brasil"|"São Paulo"|"São Carlos"|"Margem da ferrovia."|""|""|""|""|"-22.1138889"|"-47.8377777"|"Meyer, F.S."|"12/2017"|""|""|""|"Chamaecrista cathartica (Mart.) H.S.Irwin & Barneby"|"FABACEAE"|"Chamaecrista"|"cathartica"|""|"specie"|"(Mart.) H.S.Irwin & Barneby"|"Angiospermas"|""|"Plantae"|""|"UPCB 92269"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:55945"|"UPCB"|"2024-03-21"|"UPCB"|"UPCB"|"UPCB0055945"|"9908"|"M.G. Caxambú"|"2022-5-18"|"2022"|"5"|"18"|"árvore ca. 6 m, heliófita. Frutos imaturos verdes. Orla da floresta."|""|"Brasil"|"São Paulo"|"Guapiara"|"Fazenda São Jeronimo."|"909"|""|""|""|"-24.2919444"|"-48.5647222"|"M.G. Caxambú"|"18/5/2022"|""|""|""|"Senna multijuga (Rich.) H.S.Irwin & Barneby"|"FABACEAE"|"Senna"|"multijuga"|""|"specie"|"(Rich.) H.S.Irwin & Barneby"|"Angiospermas"|""|"Plantae"|""|"UPCB 106016"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:59329"|"UPCB"|"2024-01-26"|"UPCB"|"UPCB"|"UPCB0059329"|"4132"|"Cervi, A.C."|"1993-10-17"|"1993"|"10"|"17"|"Árvore, 8m, frutos verdes."|""|"Brasil"|"São Paulo"|"Itararé"|"Gruta do Barreiro."|""|""|""|""|""|""|"Cervi, A.C."|"1993"|""|""|""|"Copaifera langsdorffii Desf."|"FABACEAE"|"Copaifera"|"langsdorffii"|""|"specie"|"Desf."|"Angiospermas"|""|"Plantae"|""|"UPCB 22806"
"Collection"|"Creative Commons"|"urn:catalog:FCAB:8422"|"FCAB"|"2025-08-28"|"FCAB"|"FCAB"|"FCAB008422"|"834"|"Condack, J."|"2017-10-14"|"2017"|"10"|"14"|"Erva semi lenhosa com 1,5m de altura. Flores vermelhas, campanuladas"|""|"Brasil"|"São Paulo"|"São Bento do Sapucaí"|"Beira da estrada."|"1600"|""|""|""|"-22.6380555"|"-45.5891666"|""|""|""|""|""|"Collaea speciosa (Loisel.) DC."|"FABACEAE"|"Collaea"|"speciosa"|""|"specie"|"(Loisel.) DC."|"Angiospermas"|""|"Plantae"|""|"FCAB 8422"
"Collection"|"Creative Commons"|"urn:catalog:RB:1122821"|"RB"|"2016-05-31"|"RB"|"RB"|"RB01122821"|"619"|"R.L.G. Coelho"|"2016-1-9"|"2016"|"1"|"9"|"Erva rastejante, ca. de 40 cm de alt. Flores com estames rosas."|""|"Brasil"|"São Paulo"|"Itararé"|"Rodovia SP-258, sentido Itararé, lado direito da rodovia, estrada vicinal que leva a beira do rio, após a ponte."|""|""|""|""|""|""|"M.P. Morim"|"5/2016"|""|""|""|"Mimosa velloziana Mart."|"LEGUMINOSAE"|"Mimosa"|"velloziana"|""|"specie"|"Mart."|"Angiospermas"|""|"Plantae"|""|"RB 649232"
"Collection"|"Creative Commons"|"urn:catalog:RB:137263"|"RB"|"2014-07-22"|"RB"|"RB"|"RB00137263"|"02"|"MARIA HELENA"|"1983-12-12"|"1983"|"12"|"12"|"COROLA BRANCA. ÁRVORE."|""|"Brasil"|"São Paulo"|"Botucatu"|"SERRA DE BOTUCATU, MARGEM DIREITA DA RODOVIA MARECHAL RONDON."|""|""|""|""|""|""|"ANGELA Mª S. DA FONSECA VAZ"|"12/1991"|""|""|""|"Bauhinia forficata Link ssp. forficata"|"LEGUMINOSAE"|"Bauhinia"|"forficata"|"forficata"|"ssp."|"Link"|"Angiospermas"|""|"Plantae"|""|"RB 308786"
"Collection"|"Creative Commons"|"urn:catalog:RON:9109"|"RON"|"2020-02-07"|"RON"|"RON"|"RON00009109"|"143"|"Furlan, A"|"1983-12-21"|"1983"|"12"|"21"|"Árvore até 4m. Flor lilás, perfumada. Papilio arroxeado, brácteas vermelhas."|""|"Brasil"|"São Paulo"|"Rio Claro"|"UNESP, Campus de  Rio Claro., Plnata cultivada no jardim da UNESP."|""|"0"|""|""|""|""|"Biral, L."|"11/2011"|""|""|""|"Clitoria fairchildiana"|"FABACEAE"|"Clitoria"|"fairchildiana"|""|"specie"|""|"Angiospermas"|""|"Plantae"|""|"RON 9109"
"Collection"|"Creative Commons"|"urn:catalog:RON:9111"|"RON"|"2020-02-07"|"RON"|"RON"|"RON00009111"|"25"|"Poli, LP"|"2011-4-19"|"2011"|"4"|"19"|"Arbusto decumbente, folha cartácea, levemente discolor, corola creme, fruto imaturo verde."|""|"Brasil"|"São Paulo"|"Iguape"|"Restinga da Juréia."|""|"0"|""|""|""|""|"Lombardi, J.A."|"6/10/2011"|""|""|""|"Dalbergia ecastaphyllum (L.) Taub."|"FABACEAE"|"Dalbergia"|"ecastaphyllum"|""|"specie"|"(L.) Taub."|"Angiospermas"|""|"Plantae"|""|"RON 9111"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:34966"|"UPCB"|"2024-03-22"|"UPCB"|"UPCB"|"UPCB0034966"|"2264"|"Meyer, F.S."|"2017-11-13"|"2017"|"11"|"13"|"Subarbusto ca. 40cm alt. Flores amarelas; frutos longos, verdes. Vegetação de cerrado em regeneração, na margem da ferrovia."|""|"Brasil"|"São Paulo"|"Taquaritinga"|"Margem da Ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"12/2017"|""|""|""|"Senna obtusifolia (L.) H.S.Irwin & Barneby"|"FABACEAE"|"Senna"|"obtusifolia"|""|"specie"|"(L.) H.S.Irwin & Barneby"|"Angiospermas"|""|"Plantae"|""|"UPCB 92063"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:34971"|"UPCB"|"2022-05-09"|"UPCB"|"UPCB"|"UPCB0034971"|"2300"|"Meyer, F.S."|"2017-11-20"|"2017"|"11"|"20"|"Herbácea na margem de ferrovia. Flores com coloração vermelho-carne. Frequente. Floresta Estacional Semidecidual em estágio inicial de regeneração."|""|"Brasil"|"São Paulo"|"Catiguá"|"Margem da Ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"11/2017"|""|""|""|"Macroptilium lathyroides (L.) Urb."|"FABACEAE"|"Macroptilium"|"lathyroides"|""|"specie"|"(L.) Urb."|"Angiospermas"|""|"Plantae"|""|"UPCB 92067"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:34978"|"UPCB"|"2022-05-09"|"UPCB"|"UPCB"|"UPCB0034978"|"2276"|"Meyer, F.S."|"2017-11-17"|"2017"|"11"|"17"|"Arbusto 1,5-4m alt. Contém muitas formigas, foliolos unidos nas folhas jovens; flores com pétalas brancas. Vegetação de transição entre Cerrado e Floresta Estacional Semidecidual."|""|"Brasil"|"São Paulo"|"São José do Rio Preto"|"Margem da ferrovia."|""|""|""|""|""|""|"Queiroz, R. | Meyer, F.S."|"12/2017"|""|"cf."|""|"Bauhinia holophylla (Bong.) Steud."|"FABACEAE"|"Bauhinia"|"holophylla"|""|"specie"|"(Bong.) Steud."|"Angiospermas"|""|"Plantae"|""|"UPCB 92225"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:34979"|"UPCB"|"2022-05-09"|"UPCB"|"UPCB"|"UPCB0034979"|"2275"|"Meyer, F.S."|"2017-11-17"|"2017"|"11"|"17"|"Arcusto ca. 3m alt. Flores com petalas brancas. Frequente. Vegetação de transição entre Cerrado e Floresta Estacional Semidecidual."|""|"Brasil"|"São Paulo"|"São José do Rio Preto"|"Margem da ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"12/2017"|""|""|""|"Machaerium acutifolium Vogel"|"FABACEAE"|"Machaerium"|"acutifolium"|""|"specie"|"Vogel"|"Angiospermas"|""|"Plantae"|""|"UPCB 92224"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:34986"|"UPCB"|"2022-05-09"|"UPCB"|"UPCB"|"UPCB0034986"|"2269"|"Meyer, F.S."|"2017-11-16"|"2017"|"11"|"16"|"Subarbusto ca. 50cm alt. Flores com pétalas avermelhadas. Na orla da ferrovia (Cerrado em regeneração)."|""|"Brasil"|"São Paulo"|"Cândido Rodrigues"|"Margem da ferrovia."|""|""|""|""|""|""|"Meyer, F.S."|"12/2017"|""|""|""|"Indigofera hirsuta L."|"FABACEAE"|"Indigofera"|"hirsuta"|""|"specie"|"L."|"Angiospermas"|""|"Plantae"|""|"UPCB 92630"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:35826"|"UPCB"|"2022-02-14"|"UPCB"|"UPCB"|"UPCB0035826"|"2357"|"Meyer, F.S."|"2017-11-24"|"2017"|"11"|"24"|"Arbusto 2-3 m alt, em orla de Floresta Estacional Semidecídual em regeneração, frequente. Flores vermelhas."|""|"Brasil"|"São Paulo"|"Santa Fé do Sul"|"Margem da ferrovia."|""|""|""|""|"-20.2130556"|"-50.9505556"|"Meyer, F.S."|"11/2017"|""|""|""|"Calliandra parviflora Benth."|"FABACEAE"|"Calliandra"|"parviflora"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"UPCB 98311"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:35827"|"UPCB"|"2022-02-14"|"UPCB"|"UPCB"|"UPCB0035827"|"2343"|"Meyer, F.S."|"2017-11-23"|"2017"|"11"|"23"|"Arvore 7-10 m alt, frequente na orla da ferrovia, em Floresta Estacional Semidecídual em regeneração. Caule branco, folhas verdes, flores brancas. ""Farinha-seca""."|""|"Brasil"|"São Paulo"|"Santana da Ponte Pensa"|"Margem da ferrovia."|""|""|""|""|"-20.2319445"|"-50.8372222"|"Meyer, F.S."|"11/2017"|""|""|""|"Albizia niopoides (Spruce ex Benth.) Burkart"|"FABACEAE"|"Albizia"|"niopoides"|""|"specie"|"(Spruce ex Benth.) Burkart"|"Angiospermas"|""|"Plantae"|""|"UPCB 98307"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:35828"|"UPCB"|"2022-02-14"|"UPCB"|"UPCB"|"UPCB0035828"|"2339"|"Meyer, F.S."|"2017-11-23"|"2017"|"11"|"23"|"Arbusto frequente na orla da ferrovia (fragmento de Floresta Estacional Semidecídual em regeneração). Ramos com espinhos; flores com pétalas brancas."|""|"Brasil"|"São Paulo"|"Santana da Ponte Pensa"|"Margem da ferrovia."|""|""|""|""|"-20.2486111"|"-50.7825000"|""|""|""|""|""|"Bauhinia"|"FABACEAE"|"Bauhinia"|""|""|"genus"|""|"Angiospermas"|""|"Plantae"|""|"UPCB 98304"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:35836"|"UPCB"|"2022-02-14"|"UPCB"|"UPCB"|"UPCB0035836"|"2384"|"Meyer, F.S."|"2017-11-25"|"2017"|"11"|"25"|"Planta reptante, sob pedras às margens da ferrovia (Floresta Estacional Semidecídual em regeneração). Pétalas roxas ou brancas."|""|"Brasil"|"São Paulo"|"Santa Fé do Sul"|"Margem da ferrovia."|""|""|""|""|"-20.1141667"|"-50.9925000"|""|""|""|""|""|"FABACEAE"|"FABACEAE"|""|""|""|"family"|""|"Angiospermas"|""|"Plantae"|""|"UPCB 98322"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:35871"|"UPCB"|"2024-03-12"|"UPCB"|"UPCB"|"UPCB0035871"|"2347"|"Meyer, F.S."|"2017-11-24"|"2017"|"11"|"24"|"Arbustinho inerme, em local aberto, flores róseas. Frequente."|""|"Brasil"|"São Paulo"|"Três Fronteiras"|"Margem da ferrovia"|""|""|""|""|"-20.2247223"|"-50.9047222"|"Meyer, F.S."|"1/2018"|""|""|""|"Mimosa distans Benth."|"FABACEAE"|"Mimosa"|"distans"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"UPCB 95230"
"Collection"|"Creative Commons"|"urn:catalog:UPCB:35877"|"UPCB"|"2024-01-29"|"UPCB"|"UPCB"|"UPCB0035877"|"2345"|"Meyer, F.S."|"2017-11-24"|"2017"|"11"|"24"|"Subarbusto 50-60 cm alt., na orla da ferrovia. Folhas estreitas; flores com pétalas amarelas."|""|"Brasil"|"São Paulo"|"Três Fronteiras"|"Antiga Estação Ferroviária"|""|""|""|""|"-20.2369444"|"-50.8822223"|"Meyer, F.S."|"11/2017"|""|""|""|"Crotalaria lanceolata E.Mey."|"FABACEAE"|"Crotalaria"|"lanceolata"|""|"specie"|"E.Mey."|"Angiospermas"|""|"Plantae"|""|"UPCB 95231"
