"type"|"right"|"occurrenceID_GBIF"|"rightsHolder"|"modified"|"institutionCode"|"collectionCode"|"catalogNumber"|"recordNumber"|"recordedBy"|"eventDate"|"year"|"month"|"day"|"occurrenceRemarks"|"fieldNotes"|"country"|"stateProvince"|"municipality"|"locality"|"minimumElevationInMeters"|"maximumElevationInMeters"|"verbatimLatitude"|"verbatimLongitude"|"decimalLatitude"|"decimalLongitude"|"identifiedBy"|"dateIdentified"|"identificationRemarks"|"identificationQualifier"|"typeStatus"|"scientifcname"|"family"|"genus"|"specificEpithet"|"infraspecificEpithet"|"taxonRank"|"scientificNameAuthorship"|"Clado"|"fieldnumber"|"kingdom"|"phylum"|"otherCatalogNumbers"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7887"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07887"|"926"|"Shirasuna, R.T."|"2008-2-11"|"2008"|"2"|"11"|"Arbusto, ca. 1,6m alt.; frutos imaturos"|""|"Brasil"|"São Paulo"|"Embu"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rodrigues, R.S."|"10/9/2009"|""|""|""|"Crotalaria micans Link"|"FABACEAE"|"Crotalaria"|"micans"|""|"specie"|"Link"|"Angiospermas"|""|"Plantae"|""|"UNIP 7887"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7888"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07888"|"988"|"Shirasuna, R.T."|"2008-2-20"|"2008"|"2"|"20"|"Erva rasteira; flor lilás-esbranquiçadas"|""|"Brasil"|"São Paulo"|"Itapecerica da Serra"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"2/2011"|""|""|""|"Desmodium uncinatum (Jacq.) DC."|"FABACEAE"|"Desmodium"|"uncinatum"|""|"specie"|"(Jacq.) DC."|"Angiospermas"|""|"Plantae"|""|"UNIP 7888"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7889"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07889"|"2405"|"Shirasuna, R.T."|"2009-5-22"|"2009"|"5"|"22"|"Subarbusto pendente, crescendo em beira de estrada; flores lilás-arroxeadas"|""|"Brasil"|"São Paulo"|"São Bernardo do Campo"|"Rodoanel, trecho sul, lote 3."|"730"|"730"|""|""|"-23.7794445"|"-46.5991666"|"Rossi, L."|"12/2010"|""|""|""|"Desmodium uncinatum (Jacq.) DC."|"FABACEAE"|"Desmodium"|"uncinatum"|""|"specie"|"(Jacq.) DC."|"Angiospermas"|""|"Plantae"|""|"UNIP 7889"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7890"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07890"|"1028"|"Shirasuna, R.T."|"2008-2-27"|"2008"|"2"|"27"|"Erva rasteira; flores verde-lilás"|""|"Brasil"|"São Paulo"|"Itapecerica da Serra"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"2/2011"|""|""|""|"Desmodium uncinatum (Jacq.) DC."|"FABACEAE"|"Desmodium"|"uncinatum"|""|"specie"|"(Jacq.) DC."|"Angiospermas"|""|"Plantae"|""|"UNIP 7890"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7891"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07891"|"514"|"Shirasuna, R.T."|"2007-10-22"|"2007"|"10"|"22"|"Liana; inflorescência jovem verde-esbranquiçada"|""|"Brasil"|"São Paulo"|"São Bernardo do Campo"|"Rodoanel, trecho sul, lote 2."|"790"|"790"|""|""|"-23.7627778"|"-46.5405555"|"Rossi, L."|"10/2/2011"|""|""|""|"Dioclea rufescens Benth."|"FABACEAE"|"Dioclea"|"rufescens"|""|"specie"|"Benth."|"Angiospermas"|""|"Plantae"|""|"UNIP 7891"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7892"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07892"|"523"|"Shirasuna, R.T."|"2007-10-23"|"2007"|"10"|"23"|"Árvore, ca. 7m alt.; inflorescência branca"|""|"Brasil"|"São Paulo"|"São Paulo"|"Rodoanel, trecho sul, lote 4. Parelheiros."|""|""|""|""|""|""|"Rossi, L."|"10/2/2011"|""|""|""|"Inga laurina"|"FABACEAE"|"Inga"|"laurina"|""|"specie"|""|"Angiospermas"|""|"Plantae"|""|"UNIP 7892"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7893"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07893"|"872"|"Shirasuna, R.T."|"2008-1-23"|"2008"|"1"|"23"|"Árvore, ca. 3m alt.; frutos amarelo-ferrugíneos"|""|"Brasil"|"São Paulo"|"Embu"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"10/2/2011"|""|""|""|"Inga vulpina Mart. ex Benth."|"FABACEAE"|"Inga"|"vulpina"|""|"specie"|"Mart. ex Benth."|"Angiospermas"|""|"Plantae"|""|"UNIP 7893"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7894"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07894"|"1159"|"Shirasuna, R.T."|"2008-4-1"|"2008"|"4"|"1"|"Árvore, ca. 4m alt.; inflorescência branca com frutos imaturos cor verde"|""|"Brasil"|"São Paulo"|"Itapecerica da Serra"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"10/2/2011"|""|""|""|"Leucaena leucocephala"|"FABACEAE"|"Leucaena"|"leucocephala"|""|"specie"|""|"Angiospermas"|""|"Plantae"|""|"UNIP 7894"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7895"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07895"|"1114"|"Shirasuna, R.T."|"2008-3-24"|"2008"|"3"|"24"|"Liana; flores vermelho-alaranjadas"|""|"Brasil"|"São Paulo"|"Itapecerica da Serra"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"2/2011"|""|""|""|"Macroptilium bracteatum (Nees & Mart.) Maréchal & Baudet"|"FABACEAE"|"Macroptilium"|"bracteatum"|""|"specie"|"(Nees & Mart.) Maréchal & Baudet"|"Angiospermas"|""|"Plantae"|""|"UNIP 7895"
"Collection"|"Creative Commons"|"urn:catalog:UNIP:7896"|"UNIP"|"2017-12-27"|"UNIP"|"UNIP"|"UNIP07896"|"811"|"Shirasuna, R.T."|"2007-12-17"|"2007"|"12"|"17"|"Erva, cerca de 15cm alt.; flor amarela"|""|"Brasil"|"São Paulo"|"Embu"|"Rodoanel, trecho sul, lote 5."|""|""|""|""|""|""|"Rossi, L."|"12/2010"|""|""|""|"Melilotus indicus (L.) All."|"FABACEAE"|"Melilotus"|"indicus"|""|"specie"|"(L.) All."|"Angiospermas"|""|"Plantae"|""|"UNIP 7896"
