"name","NumRecords","NumOuro","NumPrata","NumBronze","NumTaxons","NumSpecies","NumGenus","NumFamilies","NumLatao","NumNoMatch"
"MONUMENTO NATURAL PEDRA DO ELEFANTE",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL PEDRA REDONDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL PICO DO FRADE",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL RECREIO DOS BANDEIRANTES",0,0,0,0,NA,NA,NA,NA,NA,NA
"MONUMENTO NATURAL SERRA DA VENTANIA E BANDEIRA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL COSTA DO SOL",16,7,1,3,11,11,10,4,0,0
"PARQUE ESTADUAL CUNHAMBEBE",2,0,1,0,1,1,1,1,0,1
"PARQUE ESTADUAL DESENGANO",13,6,0,5,11,11,11,7,0,1
"PARQUE ESTADUAL ILHA GRANDE",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL LAGOA DO AÇU",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL MENDANHA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL PEDRA BRANCA",2,0,0,1,1,1,1,1,0,1
"PARQUE ESTADUAL PEDRA SELADA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE ESTADUAL SERRA DA CONCÓRDIA",9,3,0,5,8,8,8,5,0,0
"PARQUE ESTADUAL SERRA DA TIRIRICA",1,0,0,1,1,1,1,1,0,0
"PARQUE ESTADUAL TRÊS PICOS",4,1,0,2,3,3,3,2,0,0
"PARQUE NACIONAL RESTINGA DE JURUBATIBA",14,5,0,4,9,9,9,9,0,4
"PARQUE NACIONAL SERRA DOS ÓRGÃOS",207,16,1,45,69,69,57,34,7,78
"PARQUE NACIONAL TIJUCA",34,16,1,6,24,24,22,19,1,6
"PARQUE NATURAL MUNICIPAL ÁGUA ESCONDIDA",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL ÁGUAS DE GUAPIMIRIM",0,0,0,0,NA,NA,NA,NA,NA,NA
"PARQUE NATURAL MUNICIPAL ARAPONGA",0,0,0,0,NA,NA,NA,NA,NA,NA
